HOG	OG	Gene Tree Parent Clade	acastellanii_braker	bc2001_braker	bc2002_braker	dicty_braker	vvermcdc19_braker
N3.HOG0000846	OG0000105	n30		bc2001_g18709.t1	bc2002_g13664.t1		
N3.HOG0000847	OG0000105	n31		bc2001_g17773.t1, bc2001_g6266.t1, bc2001_g2101.t1	bc2002_g11348.t1		
N3.HOG0000848	OG0000107	n1		bc2001_g13230.t2, bc2001_g13230.t1	bc2002_g13366.t2, bc2002_g13366.t1		
N3.HOG0000849	OG0000107	n14		bc2001_g10268.t3	bc2002_g16765.t2		
N3.HOG0000850	OG0000107	n15		bc2001_g10268.t1	bc2002_g16765.t1		
N3.HOG0000851	OG0000107	n24		bc2001_g13247.t1	bc2002_g13348.t1		
N3.HOG0000852	OG0000107	n28		bc2001_g8434.t1	bc2002_g9403.t1		
N3.HOG0000853	OG0000107	n29		bc2001_g10017.t1	bc2002_g11972.t1, bc2002_g17025.t1		
N3.HOG0000854	OG0000111	n1		bc2001_g14705.t1	bc2002_g9683.t1, bc2002_g10358.t1		
N3.HOG0000855	OG0000111	n5		bc2001_g18230.t1	bc2002_g15927.t1		
N3.HOG0000856	OG0000111	n7		bc2001_g11171.t1	bc2002_g8085.t1		
N3.HOG0000857	OG0000111	n9		bc2001_g8900.t1	bc2002_g9050.t1		
N3.HOG0000858	OG0000111	n14		bc2001_g18685.t1, bc2001_g6773.t1, bc2001_g9902.t2, bc2001_g4554.t1, bc2001_g15153.t1	bc2002_g18943.t1		
N3.HOG0000859	OG0000111	n19		bc2001_g2009.t1, bc2001_g5711.t1, bc2001_g15.t1, bc2001_g4604.t1, bc2001_g9578.t1, bc2001_g19128.t1, bc2001_g5515.t1, bc2001_g16320.t1, bc2001_g13761.t1	bc2002_g14497.t1		
N3.HOG0000860	OG0000111	n28		bc2001_g17124.t1, bc2001_g4411.t1, bc2001_g13382.t1, bc2001_g10329.t1	bc2002_g15451.t1		
N3.HOG0000861	OG0000112	n0		bc2001_g16290.t1, bc2001_g1282.t1, bc2001_g16458.t1, bc2001_g1394.t1, bc2001_g19181.t1, bc2001_g5597.t1, bc2001_g1449.t1, bc2001_g17155.t1, bc2001_g254.t1, bc2001_g7536.t1, bc2001_g12330.t1, bc2001_g13628.t1, bc2001_g417.t1, bc2001_g12572.t1, bc2001_g7658.t1, bc2001_g9996.t1, bc2001_g4598.t1	bc2002_g17053.t1, bc2002_g18697.t1, bc2002_g3000.t1, bc2002_g6497.t1, bc2002_g20049.t1, bc2002_g6614.t1, bc2002_g13977.t1, bc2002_g14112.t1, bc2002_g18646.t1, bc2002_g9296.t1, bc2002_g12032.t1, bc2002_g13771.t1, bc2002_g10050.t1, bc2002_g14346.t1, bc2002_g11658.t1, bc2002_g7779.t1		
N3.HOG0000862	OG0000113	n0		bc2001_g6858.t1	bc2002_g19581.t1, bc2002_g15021.t1		
N3.HOG0000863	OG0000114	n0		bc2001_g12428.t1, bc2001_g8096.t1	bc2002_g10019.t1, bc2002_g10205.t1, bc2002_g9992.t1, bc2002_g5733.t1, bc2002_g12871.t1, bc2002_g9161.t1, bc2002_g8617.t1, bc2002_g1316.t1, bc2002_g5305.t1, bc2002_g15618.t1, bc2002_g17174.t1, bc2002_g4710.t1, bc2002_g9293.t1, bc2002_g7646.t1, bc2002_g12721.t1, bc2002_g13996.t1, bc2002_g9996.t1, bc2002_g18551.t1, bc2002_g11182.t1, bc2002_g2315.t1, bc2002_g4445.t1, bc2002_g13475.t1, bc2002_g10208.t1, bc2002_g15449.t1, bc2002_g16628.t1, bc2002_g5851.t1, bc2002_g17873.t1, bc2002_g2156.t1, bc2002_g19155.t1, bc2002_g17242.t1, bc2002_g17572.t1		
N3.HOG0000864	OG0000115	n0			bc2002_g10464.t1, bc2002_g9009.t1, bc2002_g7177.t1, bc2002_g9947.t1, bc2002_g18773.t1, bc2002_g8208.t1, bc2002_g11546.t1, bc2002_g7929.t1, bc2002_g3425.t1, bc2002_g10779.t1, bc2002_g4355.t1, bc2002_g19622.t1, bc2002_g9062.t1, bc2002_g4071.t1, bc2002_g1925.t1, bc2002_g14251.t1, bc2002_g8355.t1, bc2002_g1486.t1, bc2002_g9597.t1, bc2002_g4171.t1, bc2002_g5728.t1, bc2002_g17889.t1, bc2002_g3482.t1, bc2002_g13290.t1, bc2002_g15735.t1, bc2002_g6036.t1, bc2002_g15102.t1, bc2002_g9044.t1, bc2002_g12922.t1, bc2002_g15413.t1, bc2002_g13353.t1, bc2002_g20042.t1, bc2002_g5502.t1		
N3.HOG0000865	OG0000117	n17		bc2001_g771.t1	bc2002_g8010.t1		
N3.HOG0000866	OG0000118	n3		bc2001_g3628.t1	bc2002_g6139.t1		
N3.HOG0000867	OG0000118	n7		bc2001_g1522.t1	bc2002_g3599.t1		
N3.HOG0000868	OG0000118	n13		bc2001_g7736.t1	bc2002_g14193.t1		
N3.HOG0000869	OG0000118	n14		bc2001_g2799.t2, bc2001_g2799.t1	bc2002_g4480.t1		
N3.HOG0000870	OG0000118	n16		bc2001_g11314.t1	bc2002_g2575.t1		
N3.HOG0000871	OG0000118	n17		bc2001_g4116.t1	bc2002_g17964.t1		
N3.HOG0000872	OG0000118	n21		bc2001_g9955.t1	bc2002_g17093.t1		
N3.HOG0000873	OG0000118	n22		bc2001_g768.t1	bc2002_g4124.t1		
N3.HOG0000874	OG0000118	n24		bc2001_g15912.t1	bc2002_g1411.t1		
N3.HOG0000875	OG0000118	n26		bc2001_g11383.t2	bc2002_g12702.t1		
N3.HOG0000876	OG0000118	n27		bc2001_g11383.t1	bc2002_g14688.t1		
N3.HOG0000877	OG0000118	n28		bc2001_g12342.t1	bc2002_g15707.t1, bc2002_g3001.t1, bc2002_g12020.t1		
N3.HOG0000878	OG0000119	n1		bc2001_g475.t1, bc2001_g3133.t1, bc2001_g13142.t1, bc2001_g10440.t1, bc2001_g15961.t1, bc2001_g14852.t1, bc2001_g12574.t1, bc2001_g16079.t1	bc2002_g643.t1, bc2002_g10048.t1, bc2002_g7558.t1, bc2002_g19611.t1, bc2002_g1490.t1		
N3.HOG0000879	OG0000119	n15		bc2001_g11159.t1	bc2002_g8099.t1		
N3.HOG0000880	OG0000119	n16		bc2001_g188.t1, bc2001_g5827.t1, bc2001_g10318.t1	bc2002_g16717.t1, bc2002_g919.t1		
N3.HOG0000881	OG0000119	n20		bc2001_g8173.t1, bc2001_g2464.t1, bc2001_g5946.t1, bc2001_g5758.t1, bc2001_g15890.t1	bc2002_g12769.t1, bc2002_g356.t1, bc2002_g1427.t1, bc2002_g934.t1, bc2002_g14283.t1, bc2002_g9913.t1, bc2002_g15006.t1		
N3.HOG0000882	OG0000120	n1		bc2001_g14967.t1	bc2002_g19134.t1		
N3.HOG0000883	OG0000120	n2		bc2001_g1214.t1	bc2002_g6310.t1, bc2002_g4427.t1, bc2002_g667.t1, bc2002_g13025.t1, bc2002_g7286.t1, bc2002_g18245.t1, bc2002_g17685.t1, bc2002_g1060.t1, bc2002_g8477.t1, bc2002_g10462.t1, bc2002_g4310.t1, bc2002_g10005.t1, bc2002_g172.t1, bc2002_g475.t1, bc2002_g9007.t1, bc2002_g7160.t1, bc2002_g7601.t1, bc2002_g10663.t1, bc2002_g5681.t1, bc2002_g6493.t1, bc2002_g8403.t1, bc2002_g11548.t1, bc2002_g19620.t1, bc2002_g14058.t1, bc2002_g1927.t1, bc2002_g113.t1, bc2002_g4715.t1, bc2002_g13837.t1, bc2002_g5975.t1		
N3.HOG0000884	OG0000121	n0			bc2002_g4018.t1, bc2002_g2804.t1, bc2002_g15355.t1, bc2002_g14433.t1, bc2002_g15892.t1, bc2002_g15716.t1, bc2002_g9678.t1, bc2002_g11766.t1, bc2002_g444.t1, bc2002_g9334.t1, bc2002_g11931.t1, bc2002_g11532.t1, bc2002_g8852.t1, bc2002_g14715.t1, bc2002_g10840.t1, bc2002_g1183.t1, bc2002_g7579.t1, bc2002_g3740.t1, bc2002_g8387.t1, bc2002_g4053.t1, bc2002_g1040.t1, bc2002_g16331.t1, bc2002_g10515.t1, bc2002_g5645.t1, bc2002_g3666.t1, bc2002_g192.t1, bc2002_g3813.t1, bc2002_g8930.t1, bc2002_g11800.t1, bc2002_g8630.t1, bc2002_g6083.t1, bc2002_g8897.t1		
N3.HOG0000885	OG0000123	n1		bc2001_g8496.t1	bc2002_g9466.t1		
N3.HOG0000886	OG0000123	n6		bc2001_g3189.t1			
N3.HOG0000887	OG0000123	n14		bc2001_g404.t3	bc2002_g11670.t2		
N3.HOG0000888	OG0000123	n15		bc2001_g404.t1, bc2001_g404.t2	bc2002_g11670.t1		
N3.HOG0000889	OG0000123	n18		bc2001_g15665.t1	bc2002_g17924.t1		
N3.HOG0000890	OG0000123	n23		bc2001_g13931.t1	bc2002_g3655.t1		
N3.HOG0000891	OG0000123	n26		bc2001_g4432.t1	bc2002_g10481.t1		
N3.HOG0000892	OG0000124	n6		bc2001_g12016.t1	bc2002_g1823.t1		
N3.HOG0000893	OG0000124	n7		bc2001_g12045.t1	bc2002_g1853.t1		
N3.HOG0000894	OG0000124	n12		bc2001_g17644.t1	bc2002_g16477.t1		
N3.HOG0000895	OG0000124	n19		bc2001_g11478.t1	bc2002_g12603.t1		
N3.HOG0000896	OG0000124	n25		bc2001_g3022.t1	bc2002_g11811.t1		
N3.HOG0000897	OG0000125	n13		bc2001_g8920.t2	bc2002_g9028.t2		
N3.HOG0000898	OG0000125	n14		bc2001_g8920.t1	bc2002_g9028.t1		
N3.HOG0000899	OG0000125	n15		bc2001_g6333.t1, bc2001_g6333.t2	bc2002_g13103.t1		
N3.HOG0000900	OG0000126	n8			bc2002_g9122.t1		
N3.HOG0000901	OG0000126	n16		bc2001_g4551.t2	bc2002_g6449.t1		
N3.HOG0000902	OG0000126	n17		bc2001_g4551.t1	bc2002_g6449.t2		
N3.HOG0000903	OG0000126	n18		bc2001_g11216.t3, bc2001_g11216.t1, bc2001_g11216.t2	bc2002_g8037.t1		
N3.HOG0000904	OG0000127	n1		bc2001_g19114.t2, bc2001_g19114.t1	bc2002_g6684.t1		
N3.HOG0000905	OG0000127	n9		bc2001_g7464.t1	bc2002_g13901.t1		
N3.HOG0000906	OG0000127	n16		bc2001_g9269.t2	bc2002_g18467.t1		
N3.HOG0000907	OG0000127	n17		bc2001_g9269.t1	bc2002_g18467.t2		
N3.HOG0000908	OG0000127	n20		bc2001_g11031.t1, bc2001_g11031.t2	bc2002_g5246.t1		
N3.HOG0000909	OG0000127	n24		bc2001_g3717.t1	bc2002_g19924.t1		
N3.HOG0000910	OG0000127	n28		bc2001_g17126.t1	bc2002_g7750.t1		
N3.HOG0000911	OG0000128	n8		bc2001_g10932.t1, bc2001_g9480.t1, bc2001_g2873.t1			
N3.HOG0000912	OG0000128	n11		bc2001_g10006.t1, bc2001_g15359.t1, bc2001_g9235.t1, bc2001_g12452.t1	bc2002_g7074.t1		
N3.HOG0000913	OG0000128	n15		bc2001_g11671.t1	bc2002_g17040.t1		
N3.HOG0000914	OG0000128	n16		bc2001_g3093.t1, bc2001_g5721.t1, bc2001_g114.t1, bc2001_g7038.t1	bc2002_g4751.t1		
N3.HOG0000915	OG0000128	n20		bc2001_g6687.t1, bc2001_g249.t1, bc2001_g18574.t1	bc2002_g15822.t1		
N3.HOG0000916	OG0000128	n23		bc2001_g10341.t1, bc2001_g18574.t2, bc2001_g6603.t1, bc2001_g9084.t1, bc2001_g9634.t1	bc2002_g18208.t1		
N3.HOG0000917	OG0000128	n28		bc2001_g6727.t1, bc2001_g13851.t1	bc2002_g14709.t1		
N3.HOG0000918	OG0000129	n4		bc2001_g17163.t1, bc2001_g6974.t1	bc2002_g4686.t1		
N3.HOG0000919	OG0000129	n6		bc2001_g16681.t2, bc2001_g13284.t1	bc2002_g13315.t1		
N3.HOG0000920	OG0000129	n11		bc2001_g5990.t1	bc2002_g14238.t1		
N3.HOG0000921	OG0000129	n12		bc2001_g15071.t1	bc2002_g16153.t1		
N3.HOG0000922	OG0000129	n18		bc2001_g12004.t1	bc2002_g1811.t1		
N3.HOG0000923	OG0000129	n19		bc2001_g8422.t1, bc2001_g8558.t1	bc2002_g17107.t1		
N3.HOG0000924	OG0000129	n21		bc2001_g12413.t1, bc2001_g5000.t1, bc2001_g12530.t1	bc2002_g10096.t1		
N3.HOG0000925	OG0000129	n24		bc2001_g699.t1	bc2002_g19147.t1, bc2002_g4048.t1		
N3.HOG0000926	OG0000129	n28		bc2001_g18973.t1	bc2002_g15663.t1		
N3.HOG0000927	OG0000129	n29		bc2001_g11744.t1	bc2002_g12337.t1		
N3.HOG0000928	OG0000130	n1		bc2001_g13327.t1	bc2002_g14072.t1		
N3.HOG0000929	OG0000130	n3		bc2001_g5660.t1, bc2001_g12430.t1, bc2001_g8098.t1, bc2001_g16482.t1, bc2001_g8617.t1, bc2001_g13630.t1, bc2001_g8680.t1, bc2001_g9434.t1, bc2001_g17454.t1, bc2001_g16634.t1, bc2001_g15618.t1, bc2001_g2763.t1, bc2001_g937.t1, bc2001_g16132.t1, bc2001_g7624.t1, bc2001_g15817.t1, bc2001_g11934.t1, bc2001_g4561.t1	bc2002_g12457.t1		
N3.HOG0000930	OG0000130	n21		bc2001_g4319.t1, bc2001_g10896.t1, bc2001_g19194.t1, bc2001_g111.t1, bc2001_g14750.t1, bc2001_g14298.t1, bc2001_g7002.t1, bc2001_g2605.t1	bc2002_g9299.t1		
N3.HOG0000931	OG0000131	n7		bc2001_g11537.t1	bc2002_g12544.t1		
N3.HOG0000932	OG0000131	n8		bc2001_g7430.t1	bc2002_g13870.t1		
N3.HOG0000933	OG0000131	n9		bc2001_g9058.t1	bc2002_g19305.t2, bc2002_g3917.t1		
N3.HOG0000934	OG0000131	n11		bc2001_g4670.t1	bc2002_g17733.t1, bc2002_g10721.t1, bc2002_g16550.t1, bc2002_g6278.t1		
N3.HOG0000935	OG0000131	n15		bc2001_g980.t1	bc2002_g10637.t1		
N3.HOG0000936	OG0000132	n9		bc2001_g9867.t1, bc2001_g6038.t1, bc2001_g12071.t1, bc2001_g3065.t1, bc2001_g14703.t1, bc2001_g16059.t1			
N3.HOG0000937	OG0000132	n15		bc2001_g19657.t1	bc2002_g347.t1		
N3.HOG0000938	OG0000132	n16		bc2001_g19564.t1	bc2002_g13412.t1, bc2002_g2019.t1		
N3.HOG0000939	OG0000132	n18		bc2001_g1085.t1	bc2002_g4246.t1		
N3.HOG0000940	OG0000132	n19		bc2001_g9139.t1, bc2001_g10774.t1	bc2002_g9338.t1, bc2002_g2452.t1		
N3.HOG0000941	OG0000132	n22			bc2002_g9685.t1, bc2002_g11936.t1, bc2002_g11761.t1, bc2002_g12299.t1, bc2002_g3745.t1		
N3.HOG0000942	OG0000132	n26		bc2001_g6207.t1	bc2002_g12957.t1		
N3.HOG0000943	OG0000132	n27		bc2001_g12534.t1	bc2002_g10092.t1		
N3.HOG0000944	OG0000132	n28		bc2001_g5351.t1	bc2002_g449.t1		
N3.HOG0000945	OG0000133	n2			bc2002_g1574.t1		
N3.HOG0000946	OG0000133	n6		bc2001_g1444.t1	bc2002_g18650.t1		
N3.HOG0000947	OG0000133	n14		bc2001_g9516.t1	bc2002_g9783.t1		
N3.HOG0000948	OG0000133	n15		bc2001_g13838.t1	bc2002_g14582.t1		
N3.HOG0000949	OG0000133	n16		bc2001_g3874.t1	bc2002_g8311.t1, bc2002_g12783.t1		
N3.HOG0000950	OG0000133	n18		bc2001_g13754.t1	bc2002_g14489.t1		
N3.HOG0000951	OG0000133	n19		bc2001_g9217.t1, bc2001_g1863.t1, bc2001_g14269.t1, bc2001_g9305.t1	bc2002_g18505.t1		
N3.HOG0000952	OG0000133	n23		bc2001_g1445.t1	bc2002_g18407.t1, bc2002_g7301.t1, bc2002_g5703.t1, bc2002_g3286.t1		
N3.HOG0000953	OG0000133	n27		bc2001_g6320.t1	bc2002_g971.t1, bc2002_g13091.t1		
N3.HOG0000954	OG0000139	n0		bc2001_g14917.t1, bc2001_g15315.t1, bc2001_g812.t1, bc2001_g2000.t1, bc2001_g6710.t1, bc2001_g6122.t1, bc2001_g16963.t1, bc2001_g1362.t1, bc2001_g4694.t1, bc2001_g7641.t1, bc2001_g2357.t1, bc2001_g15061.t1, bc2001_g6566.t1, bc2001_g2100.t1, bc2001_g3359.t1, bc2001_g18081.t1, bc2001_g18710.t1, bc2001_g3155.t1, bc2001_g1903.t1, bc2001_g3905.t1, bc2001_g4073.t1, bc2001_g11970.t1, bc2001_g12315.t1, bc2001_g9449.t1, bc2001_g18086.t1, bc2001_g4104.t1, bc2001_g6793.t1, bc2001_g373.t1, bc2001_g17666.t1			
N3.HOG0000955	OG0000140	n0		bc2001_g3472.t1			
N3.HOG0000956	OG0000141	n1		bc2001_g14976.t1	bc2002_g19123.t1		
N3.HOG0000957	OG0000141	n6			bc2002_g338.t1, bc2002_g5684.t1, bc2002_g10327.t1, bc2002_g18042.t1, bc2002_g14421.t1, bc2002_g12949.t1, bc2002_g10183.t1, bc2002_g7719.t1		
N3.HOG0000958	OG0000141	n15			bc2002_g14153.t1, bc2002_g1364.t1, bc2002_g7109.t1		
N3.HOG0000959	OG0000141	n19		bc2001_g16219.t1	bc2002_g11624.t1, bc2002_g2284.t1		
N3.HOG0000960	OG0000141	n21		bc2001_g4784.t1	bc2002_g3788.t1		
N3.HOG0000961	OG0000141	n22		bc2001_g14914.t1, bc2001_g17399.t1, bc2001_g17696.t1	bc2002_g18191.t1, bc2002_g16961.t1, bc2002_g12921.t1, bc2002_g551.t1		
N3.HOG0000962	OG0000142	n0			bc2002_g1769.t1, bc2002_g12047.t1, bc2002_g18558.t1, bc2002_g18273.t1, bc2002_g18085.t1, bc2002_g586.t1, bc2002_g19357.t1, bc2002_g11700.t1, bc2002_g10329.t1, bc2002_g18236.t1, bc2002_g15746.t1, bc2002_g15732.t1, bc2002_g7459.t1, bc2002_g7342.t1, bc2002_g11311.t1, bc2002_g4131.t1, bc2002_g7439.t1, bc2002_g5630.t1, bc2002_g13665.t1, bc2002_g15753.t1, bc2002_g2208.t1, bc2002_g19037.t1, bc2002_g8722.t1, bc2002_g14089.t1, bc2002_g11347.t1, bc2002_g18733.t1, bc2002_g6433.t1, bc2002_g12864.t1, bc2002_g3362.t1		
N3.HOG0000963	OG0000147	n1		bc2001_g9271.t1	bc2002_g18469.t1		
N3.HOG0000964	OG0000147	n12		bc2001_g11222.t2	bc2002_g8031.t2, bc2002_g8031.t3		
N3.HOG0000965	OG0000147	n14		bc2001_g11222.t1	bc2002_g8031.t1		
N3.HOG0000966	OG0000147	n16		bc2001_g18572.t1	bc2002_g5539.t1		
N3.HOG0000967	OG0000147	n18		bc2001_g18032.t3	bc2002_g15806.t1		
N3.HOG0000968	OG0000147	n25		bc2001_g11480.t1	bc2002_g12601.t1		
N3.HOG0000969	OG0000147	n26		bc2001_g11480.t2	bc2002_g12601.t2		
N3.HOG0000970	OG0000148	n1		bc2001_g7873.t1	bc2002_g19245.t1		
N3.HOG0000971	OG0000148	n6		bc2001_g4218.t1	bc2002_g10489.t1		
N3.HOG0000972	OG0000148	n11		bc2001_g7489.t1	bc2002_g9152.t1		
N3.HOG0000973	OG0000148	n12		bc2001_g12084.t1	bc2002_g12285.t1		
N3.HOG0000974	OG0000148	n13		bc2001_g13482.t1	bc2002_g13928.t1		
N3.HOG0000975	OG0000148	n15		bc2001_g3921.t1	bc2002_g18103.t1		
N3.HOG0000976	OG0000148	n18		bc2001_g16473.t1	bc2002_g17729.t1		
N3.HOG0000977	OG0000148	n19		bc2001_g12182.t1	bc2002_g18872.t1		
N3.HOG0000978	OG0000148	n20		bc2001_g4845.t1	bc2002_g8941.t1, bc2002_g8243.t1		
N3.HOG0000979	OG0000148	n22		bc2001_g17029.t1	bc2002_g10107.t1, bc2002_g7941.t1		
N3.HOG0000980	OG0000148	n24		bc2001_g121.t1, bc2001_g9789.t1, bc2001_g12520.t1	bc2002_g8767.t1		
N3.HOG0000981	OG0000149	n1		bc2001_g7931.t1	bc2002_g15512.t1		
N3.HOG0000982	OG0000149	n5			bc2002_g4243.t1, bc2002_g14050.t1		
N3.HOG0000983	OG0000149	n8			bc2002_g6200.t1, bc2002_g15574.t1		
N3.HOG0000984	OG0000149	n13		bc2001_g11281.t1	bc2002_g2455.t1, bc2002_g19019.t1, bc2002_g12302.t1, bc2002_g3184.t1, bc2002_g6359.t1		
N3.HOG0000985	OG0000149	n18		bc2001_g756.t1	bc2002_g4109.t1, bc2002_g14340.t1		
N3.HOG0000986	OG0000149	n20		bc2001_g14233.t1	bc2002_g2016.t1, bc2002_g15434.t1, bc2002_g7676.t1, bc2002_g18369.t1		
N3.HOG0000987	OG0000149	n24		bc2001_g8673.t1	bc2002_g10072.t1, bc2002_g14102.t1, bc2002_g17236.t1		
N3.HOG0000988	OG0000150	n0		bc2001_g11035.t1, bc2001_g5027.t1, bc2001_g10906.t1, bc2001_g8074.t1, bc2001_g3317.t1, bc2001_g1601.t1, bc2001_g13033.t1, bc2001_g2233.t1, bc2001_g8466.t1, bc2001_g1679.t1, bc2001_g6035.t3, bc2001_g758.t1, bc2001_g15074.t1, bc2001_g7933.t1, bc2001_g18524.t1, bc2001_g18677.t1, bc2001_g13366.t1, bc2001_g7985.t1, bc2001_g7608.t1, bc2001_g9142.t1, bc2001_g3058.t1, bc2001_g13829.t1, bc2001_g10670.t1, bc2001_g12730.t1, bc2001_g17825.t1, bc2001_g973.t2, bc2001_g17946.t1, bc2001_g17730.t1			
N3.HOG0000989	OG0000153	n9		bc2001_g9617.t1	bc2002_g18225.t1		
N3.HOG0000990	OG0000153	n10		bc2001_g505.t1	bc2002_g1620.t1		
N3.HOG0000991	OG0000154	n0		bc2001_g18521.t1, bc2001_g8671.t1, bc2001_g18189.t1, bc2001_g12515.t1, bc2001_g2839.t1, bc2001_g13930.t1, bc2001_g5351.t2, bc2001_g17796.t1, bc2001_g7604.t1, bc2001_g7649.t1, bc2001_g19007.t1, bc2001_g8200.t1, bc2001_g13385.t1, bc2001_g18894.t1, bc2001_g8587.t1, bc2001_g18863.t1, bc2001_g754.t1, bc2001_g259.t1, bc2001_g19405.t1, bc2001_g12972.t1, bc2001_g15077.t1, bc2001_g7849.t1, bc2001_g9253.t1, bc2001_g18680.t1, bc2001_g11279.t1, bc2001_g7484.t1	bc2002_g17233.t1		
N3.HOG0000992	OG0000155	n0		bc2001_g17038.t1, bc2001_g16313.t1, bc2001_g15081.t1, bc2001_g5191.t1, bc2001_g12875.t1, bc2001_g18692.t1, bc2001_g3333.t1, bc2001_g12959.t1, bc2001_g14292.t1, bc2001_g19296.t1, bc2001_g14135.t1, bc2001_g6634.t1, bc2001_g13347.t1, bc2001_g18106.t1, bc2001_g3761.t1, bc2001_g16642.t1, bc2001_g354.t1, bc2001_g441.t1, bc2001_g3677.t1, bc2001_g4856.t1, bc2001_g7303.t1, bc2001_g1297.t1, bc2001_g8699.t1, bc2001_g17420.t1, bc2001_g16157.t2, bc2001_g15715.t1, bc2001_g1624.t1			
N3.HOG0000993	OG0000156	n0		bc2001_g714.t1	bc2002_g4069.t1, bc2002_g6380.t1, bc2002_g5983.t1, bc2002_g19422.t1, bc2002_g5856.t1, bc2002_g5477.t1, bc2002_g5793.t1, bc2002_g19711.t1, bc2002_g903.t1, bc2002_g14955.t1, bc2002_g18045.t1, bc2002_g612.t1, bc2002_g13867.t1, bc2002_g3097.t1, bc2002_g1483.t1, bc2002_g8064.t1, bc2002_g20087.t1, bc2002_g2151.t1, bc2002_g19166.t1, bc2002_g19374.t1, bc2002_g6038.t1, bc2002_g13114.t1, bc2002_g2768.t1, bc2002_g8056.t1, bc2002_g12067.t1, bc2002_g10867.t1		
N3.HOG0000994	OG0000157	n1		bc2001_g13529.t1	bc2002_g9201.t1		
N3.HOG0000995	OG0000157	n2		bc2001_g14652.t1	bc2002_g15866.t1, bc2002_g652.t1, bc2002_g684.t1, bc2002_g9912.t1, bc2002_g1428.t1, bc2002_g14284.t1, bc2002_g6795.t1, bc2002_g1283.t1, bc2002_g2225.t1, bc2002_g6940.t1, bc2002_g1493.t1, bc2002_g4520.t1, bc2002_g17333.t2, bc2002_g11329.t1, bc2002_g1897.t1, bc2002_g2488.t1, bc2002_g4906.t1, bc2002_g18497.t1, bc2002_g1002.t1, bc2002_g6758.t1, bc2002_g19610.t1, bc2002_g355.t1, bc2002_g16249.t1, bc2002_g9736.t1		
N3.HOG0000996	OG0000158	n0			bc2002_g9216.t1, bc2002_g14285.t1, bc2002_g354.t1, bc2002_g685.t1, bc2002_g2489.t1, bc2002_g18914.t1, bc2002_g11743.t1, bc2002_g18498.t1, bc2002_g16564.t1, bc2002_g541.t1, bc2002_g13069.t1, bc2002_g18021.t1, bc2002_g1589.t1, bc2002_g12889.t1, bc2002_g19179.t1, bc2002_g17914.t1, bc2002_g7729.t1, bc2002_g19085.t1, bc2002_g14900.t1, bc2002_g19609.t1, bc2002_g9911.t1, bc2002_g13688.t1, bc2002_g10351.t1, bc2002_g9735.t1, bc2002_g1429.t1, bc2002_g3036.t1, bc2002_g10412.t1		
N3.HOG0000997	OG0000160	n1		bc2001_g14819.t1	bc2002_g4407.t1		
N3.HOG0000998	OG0000160	n21		bc2001_g94.t2	bc2002_g8794.t4		
N3.HOG0000999	OG0000160	n22		bc2001_g94.t1	bc2002_g8794.t1, bc2002_g8794.t2		
N3.HOG0001000	OG0000161	n1			bc2002_g12764.t1		
N3.HOG0001001	OG0000161	n16		bc2001_g11632.t2	bc2002_g12444.t2		
N3.HOG0001002	OG0000161	n21		bc2001_g8584.t1, bc2001_g8597.t1	bc2002_g17154.t1		
N3.HOG0001003	OG0000161	n23		bc2001_g16501.t1	bc2002_g17703.t1		
N3.HOG0001004	OG0000161	n24		bc2001_g6389.t1	bc2002_g3521.t1		
N3.HOG0001005	OG0000162	n9		bc2001_g9622.t1	bc2002_g18220.t1		
N3.HOG0001006	OG0000162	n10		bc2001_g64.t1	bc2002_g8825.t1		
N3.HOG0001007	OG0000162	n18		bc2001_g14770.t1	bc2002_g9611.t2		
N3.HOG0001008	OG0000162	n19		bc2001_g14681.t1	bc2002_g9707.t1		
N3.HOG0001009	OG0000162	n23		bc2001_g13895.t2	bc2002_g14640.t2		
N3.HOG0001010	OG0000162	n24		bc2001_g13895.t1	bc2002_g14640.t1		
N3.HOG0001011	OG0000163	n0		bc2001_g4403.t1, bc2001_g6900.t1, bc2001_g10668.t1, bc2001_g16009.t1, bc2001_g17798.t1, bc2001_g10776.t1, bc2001_g5029.t1, bc2001_g18158.t1, bc2001_g16057.t1, bc2001_g6515.t1, bc2001_g11665.t1, bc2001_g19005.t1, bc2001_g2880.t1, bc2001_g2013.t1, bc2001_g3380.t1, bc2001_g3063.t1, bc2001_g18196.t1, bc2001_g37.t1, bc2001_g9865.t1, bc2001_g4814.t1, bc2001_g14707.t1, bc2001_g5684.t1, bc2001_g18896.t1, bc2001_g6209.t1, bc2001_g8278.t1, bc2001_g7107.t1			
N3.HOG0001012	OG0000164	n1		bc2001_g16208.t1	bc2002_g8480.t1		
N3.HOG0001013	OG0000164	n3		bc2001_g7599.t1, bc2001_g4408.t1, bc2001_g16956.t1, bc2001_g4469.t1, bc2001_g165.t1, bc2001_g14202.t1, bc2001_g9975.t1, bc2001_g14573.t1, bc2001_g9742.t1, bc2001_g9765.t1, bc2001_g9178.t1, bc2001_g12539.t1			
N3.HOG0001014	OG0000164	n15		bc2001_g6562.t1	bc2002_g8726.t1		
N3.HOG0001015	OG0000164	n16		bc2001_g2360.t1, bc2001_g8081.t1, bc2001_g15230.t1, bc2001_g5186.t1, bc2001_g6707.t1, bc2001_g6224.t1, bc2001_g809.t1, bc2001_g12651.t1, bc2001_g18388.t1	bc2002_g10008.t1		
