Geneid,Chr,Start,End,Strand,Length,mapped_to_Icas2
g5931,contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171,493172;493535;493863;494093;494651;494873;495202;495358;495761;496022;496240;496497;496697;496827;497007;497266;497418;497657,493455;493761;493992;494301;494738;494999;495252;495450;495919;496144;496419;496631;496745;496930;497144;497352;497573;497713,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,2397,26967
g5932,contig_171,497969,498976,+,1008,0
g5933,contig_171,499313,500425,+,1113,0
g5934,contig_171,500732,501163,+,432,0
g5935,contig_171,501169,501987,-,819,0
g5936,contig_171,503397,504536,+,1140,0
g5937,contig_171,504709,506025,-,1317,0
g5938,contig_171,506754,507266,-,513,0
g5939,contig_171;contig_171,507535;507811,507708;509613,+;+,1977,0
g5940,contig_171;contig_171;contig_171;contig_171,509686;510212;510733;511844,510110;510594;511656;511983,-;-;-;-,1872,0
g5941,contig_171,512433,512699,+,267,0
g5942,contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171,512956;513059;513234;513444;513670;513838;514117,512984;513143;513362;513547;513735;513957;514159,-;-;-;-;-;-;-,576,12322
g5943,contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171,514333;514567;514706;515244;515482;515747;515913;516099;516579;517026;517184;517376;517716;517990,514386;514632;515042;515360;515627;515822;516005;516148;516709;517088;517294;517587;517907;518096,+;+;+;+;+;+;+;+;+;+;+;+;+;+,1755,24190
g5944,contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171;contig_171,518242;518242;518895;518895;519071;519071;519474;519474;519695;519695;519918;519918;520235;520235;520612;520612;520818;520818;520992;520992;521369;521369;521523;521523;521764;521764;521945;521945;522150;522150;522353;522353,518824;518824;518979;518979;519311;519329;519626;519626;519814;519814;520125;520125;520349;520349;520702;520702;520890;520890;521026;521026;521413;521413;521645;521645;521845;521845;522039;522039;522252;522252;522465;522465,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,2283,10353
g5945,contig_174;contig_174;contig_174,2;255;1323,115;922;1587,+;+;+,1047,0
g5946,contig_174,1735,2217,+,483,0
g5947,contig_174,2295,6167,+,3873,0
g5948,contig_174;contig_174,6227;6723,6621;7083,-;-,756,0
g5949,contig_174,7129,7536,+,408,0
g5950,contig_174;contig_174;contig_174;contig_174,7609;10349;10885;11136,9277;10357;11012;12479,+;+;+;+,3150,1777
g5951,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,13093;13241;13447;13644;13848;14119;14308;14646;14823;14927;16275;16547;16916,13134;13343;13516;13767;14002;14210;14539;14723;14855;16213;16314;16660;16927,-;-;-;-;-;-;-;-;-;-;-;-;-,2382,19481
g5952,contig_174,17140,17817,-,678,0
g5953,contig_174;contig_174;contig_174;contig_174;contig_174,18465;18632;18965;19151;19354,18535;18886;19073;19278;19417,-;-;-;-;-,627,19394
g5954,contig_174;contig_174;contig_174,19559;19862;20273,19801;20174;20403,+;+;+,687,179
g5955,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,20707;20707;20911;20911;21186;21475,20825;20825;21109;21109;21329;21504,-;-;-;-;-;-,492,28367
g5956,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,21617;21751;22171;22467;22684;23021;23432;23732,21665;22001;22254;22566;22951;23326;23570;23923,+;+;+;+;+;+;+;+,1389,1680
g5957,contig_174,25145,25564,+,420,0
g5958,contig_174;contig_174,25983;26574,26285;29162,+;+,2892,582
g5959,contig_174;contig_174;contig_174,29192;29499;29720,29310;29606;30026,-;-;-,534,0
g5960,contig_174,30070,30477,+,408,0
g5961,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,30508;33001;33100;33176;33202;33389;33389;33584;33584;33809;33809;34011;34011;34270;34270,32287;33057;33124;33289;33289;33493;33493;33681;33681;33931;33931;34102;34102;34433;34433,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,2558,2990
g5962,contig_174;contig_174;contig_174;contig_174;contig_174,34537;34721;34907;35053;35219,34658;34808;34971;35135;37386,+;+;+;+;+,2526,5238
g5963,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,37543;37868;38122;38304;38516;38720;38989;39165;39351;39528;39854,37743;38030;38196;38407;38587;38871;39077;39253;39445;39601;39918,-;-;-;-;-;-;-;-;-;-;-,1179,8069
g5964,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,40061;40197;40434;40781;40969;41194;41462,40133;40265;40565;40811;41117;41290;41684,+;+;+;+;+;+;+,774,149230
g5965,contig_174;contig_174;contig_174;contig_174,42118;42348;42746;43175,42189;42667;42767;43411,-;-;-;-,651,49291
g5966,contig_174;contig_174,43747;44187,43936;44749,-;-,753,224248
g5967,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,44952;45208;45434;45612;45847;46082;46295;46550;46795;47050;47262;47534;47702,45127;45248;45532;45719;45900;46228;46466;46632;46979;47179;47445;47627;47887,-;-;-;-;-;-;-;-;-;-;-;-;-,1659,4441
g5968,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,48018;48462;48864;49106;49431;49622;49883;50039;50262;50691,48145;48566;49002;49275;49503;49783;49947;50112;50389;50900,-;-;-;-;-;-;-;-;-;-,1254,24415
g5969,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,51141;51141;51211;51211;51312;51312;51433;51433;51636;51636;52228;52228;52355;52355;52671;52671;52998;52998;53103;53103;53241;53241;53665;53665;53901;53901;54048;54048;54162;54162;54381;54381;54491;54491;54767;54767;54932;54932;55344;55344;55504;55507;55937;55937;56129;56129;56304;56304;56490;56490;56621;56621;56755;56755;57124;57124;58478;58478;58675;58675;59013;59013;59473;59473;59608;59608;59786;59786;60015;60015;60437;60437;60635;60635;60842;60842,51144;51144;51244;51244;51364;51364;51538;51538;51756;51756;52268;52268;52492;52492;52762;52762;53009;53009;53159;53159;53548;53548;53767;53767;53959;53959;54099;54099;54287;54287;54416;54416;54688;54688;54846;54846;55108;55108;55402;55402;55838;55838;56068;56068;56236;56236;56386;56386;56553;56553;56697;56697;56807;56807;58343;58343;58525;58525;58914;58914;59300;59300;59491;59491;59659;59659;59941;59941;60272;60272;60543;60543;60731;60731;60877;60877,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,5229,21524
g5970,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,61013;61564;61742;61916;62202;62392;62695;62829;63061;63449;63664;63994;64137;64341,61490;61644;61842;62125;62312;62621;62759;62972;63352;63560;63888;64061;64258;64555,+;+;+;+;+;+;+;+;+;+;+;+;+;+,2454,8953
g5971,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,64631;64631;64781;64781;64902;64902;65415;65415;65791;65791;65972;65972;66117;66117;66348;66348;66640;66640;66824;66824;67043;67043;67238;67238,64688;64688;64813;64813;65006;65006;65726;65726;65883;65883;66051;66051;66240;66240;66507;66507;66746;66749;66937;66937;67146;67146;67375;67375,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,1431,13962
g5972,contig_174;contig_174;contig_174;contig_174,67485;68011;68150;68374,67792;68087;68276;69037,+;+;+;+,1176,1658
g5973,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,69131;69385;69663;69960;70210;70395;70766,69325;69536;69837;70141;70292;70561;70873,-;-;-;-;-;-;-,1062,11723
g5974,contig_174,71249,71566,+,318,0
g5975,contig_174;contig_174,71830;71830,72390;72060,-;-,561,0
g5976,contig_174,73272,74996,+,1725,0
g5977,contig_174;contig_174;contig_174;contig_174,75023;75554;75834;76090,75473;75757;75950;76433,-;-;-;-,1116,0
g5978,contig_174,76567,77058,+,492,0
g5979,contig_174;contig_174;contig_174,77129;77896;78462,77808;78387;78771,+;+;+,1482,0
g5980,contig_174,78800,80260,-,1461,0
g5981,contig_174;contig_174;contig_174,80328;80916;81728,80791;81628;82494,-;-;-,1944,0
g5982,contig_174;contig_174;contig_174,82774;83072;83581,82984;83524;83858,+;+;+,942,0
g5983,contig_174,84259,84600,+,342,0
g5984,contig_174,84627,85637,-,1011,0
g5985,contig_174,85798,87522,+,1725,0
g5986,contig_174;contig_174;contig_174,87549;88068;89243,87973;89163;89266,-;-;-,1545,0
g5987,contig_174;contig_174;contig_174,89330;89639;90411,89567;90323;90981,+;+;+,1494,0
g5988,contig_174,91035,91271,+,237,0
g5989,contig_174,91303,95010,-,3708,0
g5990,contig_174,95817,96143,+,327,0
g5991,contig_174,96289,96972,+,684,0
g5992,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,97331;97568;97782;98255;98458;98784;98914;99121;99272;99468,97459;97637;98172;98346;98633;98828;99013;99190;99368;99509,+;+;+;+;+;+;+;+;+;+,1212,8
g5993,contig_174;contig_174,100031;100340,100208;100398,-;-,237,0
g5994,contig_174,100587,100814,+,228,0
g5995,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,101582;101875;102164;102345;102527;102716;102886;103080;103288;103528;103692;103832;104011;104268;104439;104931;105099;105363;105567;105756;105899;106211;106813;107256;107481;107683;107916;108204;108413,101806;102026;102248;102425;102602;102786;102997;103198;103415;103610;103738;103923;104135;104353;104794;105005;105265;105457;105650;105815;106043;106407;107017;107354;107572;107806;108088;108331;108446,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,3516,10274
g5996,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,108631;108631;108631;108806;108806;108806;109169;109169;109169;109390;109390;109393;109621;109621;109624;109793;109793;109793;110111;110111;110111;110647;110647;110647;110834;110834;110834;111341;111341;111341;111513;111513;111513;111781;111781;111781;111947;111947;111947;112144;112144;112144;113027;113027;113027;113502;113502;113502;113854;113854;113854,108689;108689;108689;109015;109015;109015;109276;109276;109276;109487;109487;109487;109689;109689;109689;109837;109837;109837;110359;110359;110359;110757;110757;110757;110936;110936;110936;111424;111424;111424;111684;111684;111684;111859;111859;111859;112032;112032;112032;112363;112363;112363;113197;113197;113197;113765;113765;113765;115499;115499;115499,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,3774,11610
g5997,contig_174;contig_174;contig_174;contig_174,115898;115898;116180;116180,116098;116098;116719;116698,-;-;-;-,741,490
g5998,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,116752;117276;117295;118517;118517;119084;119084;119483;119483;119674;119674;119871;119871;120109;120109;120566;120566,116870;118412;118412;118932;118932;119357;119357;119594;119594;119799;119799;119953;119953;120470;120470;121161;121161,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,3225,2597
g5999,contig_174;contig_174,121909;122791,122686;122885,-;-,873,0
g6000,contig_174,126015,126239,+,225,0
g6001,contig_174;contig_174,126262;126847,126773;126853,-;-,519,0
g6002,contig_174,127357,128148,-,792,0
g6003,contig_174,128381,128716,-,336,0
g6004,contig_174;contig_174,128795;128925,128818;129806,+;+,906,0
g6005,contig_174;contig_174,129866;130485,130287;130716,-;-,654,0
g6006,contig_174,130762,131169,+,408,0
g6007,contig_174,131242,133014,+,1773,0
g6008,contig_174,133585,134760,-,1176,0
g6009,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,135153;135669;137149;137337;137687;138073;138456;138849;139034,135521;135767;137245;137551;137874;138357;138698;138896;140150,-;-;-;-;-;-;-;-;-,2661,7208
g6010,contig_174;contig_174;contig_174;contig_174,140924;141319;141484;141871,141109;141415;141777;142841,+;+;+;+,1548,0
g6011,contig_174,144240,144707,+,468,0
g6012,contig_174,146311,147066,+,756,0
g6013,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,147148;148154;148548;149297;150186;151052;153778;154070;154306,148067;148391;149213;150020;150947;151127;153996;154226;154611,-;-;-;-;-;-;-;-;-,4068,1056
g6014,contig_174;contig_174;contig_174;contig_174;contig_174,154864;155141;155147;155335;155335,154941;155215;155215;155676;155676,+;+;+;+;+,495,0
g6015,contig_174,156113,156721,+,609,0
g6016,contig_174;contig_174,157280;157715,157603;157939,+;+,549,0
g6017,contig_174,158116,159060,-,945,0
g6018,contig_174;contig_174;contig_174,160157;160383;160660,160236;160545;160908,+;+;+,492,8151
g6019,contig_174;contig_174;contig_174,161051;161961;163328,161791;162898;163520,-;-;-,1872,20583
g6020,contig_174,163843,165285,+,1443,6904
g6021,contig_174;contig_174;contig_174,165455;165614;166267,165496;166187;167099,+;+;+,1449,16930
g6022,contig_174,167238,167627,-,390,19059
g6023,contig_174;contig_174;contig_174;contig_174,167997;168205;168510;168899,168033;168428;168791;168970,+;+;+;+,615,72151
g6024,contig_174;contig_174;contig_174;contig_174,169185;169329;169509;169750,169241;169420;169666;169979,-;-;-;-,537,13820
g6025,contig_174,173496,174848,+,1353,0
g6026,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,175003;175057;176492;176492;176655;176655;177114;177114;177337;177337;177665;177665;177785;177785;177998;177998;178156;178156;178333;178333,176359;176359;176539;176539;177030;177030;177205;177205;177512;177512;177709;177709;177884;177884;178067;178067;178252;178252;178368;178368,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,2397,4295
g6027,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,178860;180217;180221;180470;180470;181202;181202;181432;181432;181584;181584,179880;180349;180349;181049;181049;181292;181292;181513;181513;181708;181708,-;-;-;-;-;-;-;-;-;-;-,2032,34991
g6028,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,182327;182503;182690;182710;183573;183573;184620;184620,182355;182541;183050;183050;184416;184416;185301;185301,-;-;-;-;-;-;-;-,1955,19063
g6029,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,185468;185468;186228;186228;187639;187639;187878;188683;188683,186121;186121;186463;186463;188382;187787;188382;189364;189364,+;+;+;+;+;+;+;+;+,2316,11762
g6030,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,189687;189824;190037;190191;190465;190755;191003;191175;191485;191712,189743;189969;190097;190390;190671;190901;191092;191363;191566;192194,+;+;+;+;+;+;+;+;+;+,1662,5252
g6031,contig_174;contig_174;contig_174;contig_174;contig_174,192269;192989;193455;193662;193956,192684;193201;193585;193765;194003,-;-;-;-;-,912,3029
g6032,contig_174;contig_174;contig_174;contig_174,194049;194395;194545;194838,194321;194467;194725;194910,+;+;+;+,600,3903
g6033,contig_174;contig_174;contig_174,195113;195333;195712,195244;195637;196246,-;-;-,972,1124
g6034,contig_174;contig_174;contig_174;contig_174;contig_174,197097;197097;198250;198250;198661,198147;198147;198605;198555;199082,+;+;+;+;+,1829,0
g6035,contig_174;contig_174;contig_174;contig_174,199154;199154;199154;201217,199660;199555;200956;201300,-;-;-;-,1887,0
g6036,contig_174;contig_174;contig_174;contig_174,201507;202086;202796;204069,201998;202554;203995;204187,+;+;+;+,2280,0
g6037,contig_174;contig_174,206735;207282,207105;207549,+;+,639,0
g6038,contig_174,207555,209348,-,1794,0
g6039,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,210506;210840;211059;211251;211544;212057;212624;212958;213513;213884;214108;214352,210766;210993;211178;211471;211938;212504;212874;213117;213737;214015;214287;214666,-;-;-;-;-;-;-;-;-;-;-;-,2862,6836
g6040,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,214687;214762;214762;215095;215095;215095;215362;215362;215362;215636;215636;216232;216232;216232;216400;216400;216603;216603;216603;216997;216997;216997;217363;217363;217363,215016;215016;215016;215268;215268;215268;215769;215428;215428;215769;215769;216333;216461;216333;216461;216461;216912;216915;216915;217291;217291;217291;217421;217421;217421,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,1809,9513
g6041,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,217520;217520;217858;217858;218017;218017;218232;218232;218380;218517;218517;218846;218846;219324;219324;219504;219504;219675;219675;219930;219930,217776;217776;217948;217948;218121;218126;218267;218434;218434;218749;218749;219010;219010;219427;219427;219597;219597;219807;219807;219988;219988,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,1449,1117
g6042,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,220269;220450;220725;221289;221706;221961,220380;220617;220813;221514;221899;222086,+;+;+;+;+;+,915,21232
g6043,contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174;contig_174,222252;222445;222798;223115;223451;223592;224035;224407;224594;224715;225031;225311;225620;226053;226270;226433;226665;226815;227041;227318;227505,222306;222713;222951;223274;223520;223795;224248;224510;224648;224920;225173;225447;225979;226144;226353;226580;226725;226965;227181;227431;227615,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,3033,6452
g6044,contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19,79;103;249;249;753;990;1293;1501;2288;2580,176;176;558;554;758;1015;1375;2165;2472;2707,+;+;+;+;+;+;+;+;+;+,1501,7532
g6045,contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19,3007;3355;3564;3845;3999;4211;4341;4500;4778;4891;5390;6499;6788;7129;7608;8161;8517;8848;9169,3293;3463;3730;3918;4134;4261;4415;4589;4834;5194;6417;6686;7062;7542;8057;8376;8747;9081;9192,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,4410,7591
g6046,contig_19;contig_19;contig_19;contig_19,9360;9528;10327;10770,9416;9576;10375;11118,-;-;-;-,504,31934
g6047,contig_19,11558,12070,-,513,747
g6048,contig_19;contig_19,12164;12856,12784;12864,-;-,630,5314
g6049,contig_19;contig_19;contig_19,13181;13464;14067,13370;13990;14189,+;+;+,840,0
g6050,contig_19,17238,19058,-,1821,0
g6051,contig_19,19089,19496,-,408,0
g6052,contig_19;contig_19,19542;19971,19860;20392,+;+,741,0
g6053,contig_19;contig_19,20452;22348,22202;23917,-;-,3321,0
g6054,contig_19,24038,24424,-,387,0
g6055,contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19,24748;25443;25720;26008;26585;27150;27733;28611,25156;25575;25923;26188;27066;27626;28554;29652,-;-;-;-;-;-;-;-,3750,0
g6056,contig_19;contig_19;contig_19;contig_19;contig_19,29718;29951;30179;30535;30944,29749;30024;30364;30848;30955,+;+;+;+;+,618,0
g6057,contig_19,31179,32006,+,828,0
g6058,contig_19;contig_19;contig_19;contig_19,33842;34242;34417;34868,33952;34335;34662;34893,+;+;+;+,477,0
g6059,contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19,35394;35745;36120;36755;37411;37946;38415,35562;35894;36179;37063;37697;38174;38626,-;-;-;-;-;-;-,1416,5027
g6060,contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19,39072;40301;40608;40953;41406;41720;42025;42205,40206;40387;40853;41240;41593;41934;42121;42240,+;+;+;+;+;+;+;+,2292,3649
g6061,contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19,42432;42612;42816;42955;43251;43543;43789;44051;44283;44573;44762;45207;45527,42445;42741;42889;43148;43450;43717;43929;44190;44372;44673;44871;45395;45876,+;+;+;+;+;+;+;+;+;+;+;+;+,1908,14883
g6062,contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19,46024;46429;46702;46975;47168;47382;47605;48034;49138;49404;49901,46367;46537;46874;47051;47312;47426;47920;49049;49276;49579;49934,-;-;-;-;-;-;-;-;-;-;-,2574,31667
g6063,contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19,50236;50713;50927;51184;51428;51919;52133;52382;52689,50628;50849;51087;51310;51772;52051;52279;52484;52738,-;-;-;-;-;-;-;-;-,1596,672
g6064,contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19,53421;53451;53676;53676;53962;53962;54191;54191;54376;54376,53499;53499;53829;53829;54088;54088;54265;54265;54723;54723,+;+;+;+;+;+;+;+;+;+,783,7362
g6065,contig_19;contig_19,58713;58904,58829;59794,-;-,1008,0
g6066,contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19,60821;61884;62277;62571;62871;63031;63268;63503;63842,61304;62094;62368;62749;62918;63130;63337;63599;63880,+;+;+;+;+;+;+;+;+,1320,3519
g6067,contig_19;contig_19;contig_19,65620;65883;66059,65823;65982;66159,+;+;+,405,3994
g6068,contig_19,66353,66820,-,468,53625
g6069,contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19,66950;67127;67131;67252;67252;67612;67612;67989;67989;68184;68184;68947;68947;69542;69542;69700;69700;69998;69998;70234;70234;70454;70454;70582;70582;70866;70866,66956;67181;67181;67531;67531;67806;67806;68074;68074;68732;68732;69318;69318;69611;69611;69822;69822;70145;70145;70283;70283;70500;70500;70764;70764;70888;70888,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,2188,11338
g6070,contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19,71195;71195;71742;71742;71884;71884;72021;72021;72274;72274;72413;72413;72615;72615;72963;72963;73292;73292;73654;73654;73907;73907;74807;74807;75172;75172;77065;77065;77501;77746;77934;78563;78777,71320;71320;71817;71817;71915;71915;72176;72176;72336;72336;72445;72445;72776;72776;73136;73136;73413;73413;73766;73766;74189;74189;74983;74983;76979;76979;77366;77349;77681;77808;78209;78696;79033,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,4538,53009
g6071,contig_19;contig_19;contig_19,80951;81166;81482,81113;81413;81889,+;+;+,819,7623
g6072,contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19,82215;82415;82677;82948;83210;83507;83945;84165;84430;84655;84867;85036;85480;85754;86255;86821,82295;82548;82853;83010;83370;83522;83960;84261;84499;84754;84914;85214;85571;85964;86623;87358,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,2352,170539
g6073,contig_19,87736,88251,-,516,2
g6074,contig_19,89108,92941,+,3834,0
g6075,contig_19,93183,93659,-,477,0
g6076,contig_19;contig_19;contig_19,93183;93832;94602,93744;94533;95077,-;-;-,1740,0
g6077,contig_19,93795,94340,-,546,0
g6078,contig_19;contig_19,95211;96177,96087;96619,+;+,1320,0
g6079,contig_19,96645,98369,-,1725,0
g6080,contig_19,98533,99555,+,1023,0
g6081,contig_19,99582,99926,-,345,0
g6082,contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19;contig_19,100291;100400;100593;101031;101202;101420;101782;102240;102395,100318;100514;100771;101122;101344;101690;101979;102329;102685,+;+;+;+;+;+;+;+;+,1407,0
g6083,contig_19;contig_19,103639;105361,105153;105417,-;-,1572,0
g6084,contig_19;contig_19;contig_19,106483;106681;106894,106602;106802;107296,+;+;+,645,2843
