Orthogroup	dicty_braker	vvermcdc19_braker
OG0001007	dicty_g9586.t1	vverm_g14269.t1
OG0001009	dicty_g8151.t1, dicty_g8151.t2	vverm_g3361.t1, vverm_g12079.t2, vverm_g12079.t1
OG0001010	dicty_g10476.t1, dicty_g8644.t1, dicty_g3746.t2, dicty_g3746.t1	vverm_g16578.t2, vverm_g16578.t1, vverm_g232.t1
OG0001011	dicty_g10322.t1	vverm_g5600.t1, vverm_g6278.t1
OG0001013	dicty_g2522.t1, dicty_g2953.t1	vverm_g9874.t2, vverm_g9874.t1
OG0001014	dicty_g1563.t1	vverm_g8377.t1, vverm_g2689.t1, vverm_g13580.t1, vverm_g13651.t1
OG0001015	dicty_g9534.t1, dicty_g9532.t1, dicty_g9536.t1	vverm_g7297.t1, vverm_g10394.t1
OG0001016	dicty_g6122.t1, dicty_g6142.t1, dicty_g9933.t1, dicty_g152.t1	vverm_g2599.t2, vverm_g2599.t1
OG0001017	dicty_g6069.t1	vverm_g327.t1, vverm_g1349.t1
OG0001018	dicty_g6872.t1	vverm_g14800.t3, vverm_g14800.t1, vverm_g14800.t2
OG0001022	dicty_g8322.t1	vverm_g9879.t1, vverm_g16193.t1, vverm_g9878.t1, vverm_g6766.t1
OG0001029	dicty_g8508.t1	vverm_g11014.t1, vverm_g1147.t1, vverm_g5169.t1
OG0001037	dicty_g552.t1, dicty_g4118.t1	vverm_g12408.t2, vverm_g12408.t1, vverm_g4266.t1, vverm_g4266.t2
OG0001040	dicty_g8751.t2, dicty_g8751.t1	vverm_g15449.t2, vverm_g15449.t1
OG0001048	dicty_g6788.t1	vverm_g3585.t2, vverm_g3585.t1, vverm_g4493.t1, vverm_g4493.t2
OG0001053	dicty_g7005.t1, dicty_g7005.t2	vverm_g206.t2, vverm_g206.t1
OG0001054	dicty_g8214.t2, dicty_g8214.t1	vverm_g2306.t2, vverm_g2306.t1
OG0001054	dicty_g4819.t1	vverm_g2291.t1, vverm_g2021.t1
OG0001057	dicty_g1553.t1, dicty_g7685.t1, dicty_g7685.t2	vverm_g4712.t1, vverm_g4712.t2
OG0001059	dicty_g8810.t1, dicty_g545.t1, dicty_g10597.t1, dicty_g3390.t1, dicty_g3386.t1	vverm_g12580.t1, vverm_g12580.t2, vverm_g4820.t1
OG0001096	dicty_g3897.t1	vverm_g1275.t1
OG0001097	dicty_g6841.t1, dicty_g6841.t2	vverm_g14167.t1
OG0001098	dicty_g8868.t1	vverm_g12706.t1, vverm_g8643.t1
OG0001099	dicty_g11425.t1	vverm_g6683.t1, vverm_g14646.t1
OG0001100	dicty_g4607.t1	vverm_g5204.t2, vverm_g5204.t1, vverm_g5204.t3
OG0001101	dicty_g3443.t1, dicty_g3443.t2	vverm_g5238.t2, vverm_g5238.t1, vverm_g12630.t1
OG0001103	dicty_g6346.t3, dicty_g6346.t1	vverm_g7430.t1
OG0001104	dicty_g1313.t1	vverm_g7326.t1, vverm_g3119.t2, vverm_g3119.t1, vverm_g3921.t1
OG0001105	dicty_g97.t1, dicty_g97.t2	vverm_g13537.t1, vverm_g450.t1, vverm_g1046.t1
OG0001106	dicty_g5390.t1	vverm_g898.t2, vverm_g898.t1, vverm_g11499.t1, vverm_g910.t1, vverm_g14461.t1
OG0001107	dicty_g9486.t1	vverm_g1714.t1, vverm_g1706.t1
OG0001108	dicty_g9250.t1, dicty_g9249.t1	vverm_g11515.t1, vverm_g11518.t1
OG0001109	dicty_g8353.t1, dicty_g3451.t1	vverm_g2498.t1, vverm_g2497.t1
OG0001110	dicty_g7032.t1	vverm_g12998.t1, vverm_g6791.t1
OG0001111	dicty_g11245.t1	vverm_g8566.t1, vverm_g8566.t2, vverm_g1807.t1
OG0001112	dicty_g6137.t1	vverm_g16000.t1
OG0001113	dicty_g7691.t1	vverm_g13475.t1, vverm_g56.t1, vverm_g11557.t2, vverm_g11557.t1
OG0001115	dicty_g11028.t1, dicty_g6916.t1, dicty_g3651.t1	vverm_g15391.t1
OG0001117	dicty_g10804.t1	vverm_g10324.t1, vverm_g14617.t1
OG0001118	dicty_g2598.t1, dicty_g2878.t1	vverm_g943.t1
OG0001119	dicty_g5076.t2, dicty_g5076.t1, dicty_g4833.t1	vverm_g1417.t1
OG0001121	dicty_g7405.t1, dicty_g2329.t1	vverm_g10723.t1, vverm_g5840.t1
OG0001123	dicty_g5901.t1	vverm_g12984.t1, vverm_g6471.t1
OG0001124	dicty_g10227.t1	vverm_g9189.t1
OG0001124	dicty_g224.t1	vverm_g11001.t2, vverm_g11001.t1
OG0001125	dicty_g899.t1	vverm_g16921.t1
OG0001126	dicty_g6469.t1	vverm_g5306.t1, vverm_g5306.t2
OG0001128	dicty_g4072.t1, dicty_g3345.t1	vverm_g1139.t1
OG0001129	dicty_g8013.t1	vverm_g12929.t2, vverm_g12929.t1, vverm_g12838.t1
OG0001130	dicty_g1680.t1, dicty_g9917.t1, dicty_g3188.t1	vverm_g11510.t2, vverm_g12123.t1
OG0001131	dicty_g1724.t1	vverm_g11037.t1
OG0001131	dicty_g11438.t1	vverm_g8020.t1
OG0001132	dicty_g1209.t1, dicty_g1210.t1	vverm_g10333.t1
OG0001133	dicty_g2452.t1	vverm_g16147.t1
OG0001133	dicty_g9233.t1	vverm_g4940.t1
OG0001134	dicty_g6769.t1	vverm_g7019.t1
OG0001135	dicty_g784.t2, dicty_g784.t1, dicty_g785.t1, dicty_g783.t1	vverm_g12356.t1, vverm_g15891.t1, vverm_g12355.t1
OG0001136	dicty_g9231.t1	vverm_g10857.t3, vverm_g10857.t2, vverm_g10857.t1
OG0001137	dicty_g6117.t1, dicty_g6117.t2	vverm_g14357.t1, vverm_g2551.t1
OG0001138	dicty_g9145.t1, dicty_g5018.t1	vverm_g4472.t1
OG0001139	dicty_g10560.t1	vverm_g5130.t1
OG0001139	dicty_g549.t1	vverm_g13876.t1, vverm_g6728.t1
OG0001140	dicty_g7436.t1, dicty_g7436.t2	vverm_g14069.t1, vverm_g5870.t1, vverm_g10443.t2, vverm_g10443.t1
OG0001141	dicty_g8724.t1	vverm_g3582.t1, vverm_g3582.t2, vverm_g15435.t2, vverm_g15435.t1, vverm_g15436.t1
OG0001142	dicty_g4119.t1	vverm_g4857.t1, vverm_g4858.t1
OG0001143	dicty_g6653.t1	vverm_g6332.t1
OG0001144	dicty_g11142.t1	vverm_g14684.t1, vverm_g14684.t2, vverm_g16197.t1
OG0001145	dicty_g765.t1, dicty_g4187.t1	vverm_g6671.t1
OG0001147	dicty_g2790.t1, dicty_g2687.t1	vverm_g10378.t1, vverm_g13793.t1
OG0001148	dicty_g7910.t1	vverm_g10707.t1, vverm_g14325.t1, vverm_g14326.t1, vverm_g3524.t1
OG0001149	dicty_g3733.t1, dicty_g3733.t2	vverm_g4342.t1
OG0001150	dicty_g1977.t1	vverm_g2526.t2, vverm_g2526.t1
OG0001153	dicty_g9604.t1	vverm_g5219.t1, vverm_g16413.t1
OG0001154	dicty_g4487.t1	vverm_g9154.t1
OG0001155	dicty_g8146.t1	vverm_g3370.t1
OG0001155	dicty_g3179.t1	vverm_g3384.t2, vverm_g3384.t1
OG0001156	dicty_g4134.t1	vverm_g12815.t2, vverm_g12815.t1
OG0001156	dicty_g7848.t1	vverm_g11797.t1
OG0001157	dicty_g6970.t1	vverm_g12452.t1, vverm_g12449.t1, vverm_g12449.t2
OG0001158	dicty_g4600.t1	vverm_g4843.t1, vverm_g9957.t1
OG0001160	dicty_g441.t1, dicty_g443.t1	vverm_g9350.t1, vverm_g5100.t1
OG0001161	dicty_g7096.t1, dicty_g7096.t2	vverm_g2578.t1, vverm_g2578.t2
OG0001162	dicty_g7336.t1	vverm_g9868.t1, vverm_g9868.t2, vverm_g16168.t1
OG0001163	dicty_g2576.t1, dicty_g2900.t1	vverm_g5363.t1, vverm_g4171.t1, vverm_g139.t1
OG0001164	dicty_g3695.t1	vverm_g11146.t1, vverm_g13603.t1, vverm_g1997.t1, vverm_g1997.t2, vverm_g14099.t1, vverm_g14101.t1
OG0001165	dicty_g9413.t1, dicty_g6489.t1	vverm_g9052.t1, vverm_g1745.t2, vverm_g1745.t1
OG0001166	dicty_g10942.t1	vverm_g16865.t2, vverm_g16865.t1
OG0001167	dicty_g10712.t1	vverm_g14132.t1, vverm_g14265.t1
OG0001168	dicty_g10305.t1	vverm_g4185.t1
OG0001169	dicty_g10548.t1	vverm_g11929.t1, vverm_g7774.t1, vverm_g768.t1, vverm_g13280.t1
OG0001170	dicty_g7990.t1	vverm_g7313.t1, vverm_g7314.t1
OG0001171	dicty_g7270.t1	vverm_g15181.t2, vverm_g14694.t2, vverm_g15181.t1, vverm_g14694.t1
OG0001172	dicty_g3215.t1	vverm_g12526.t1, vverm_g13161.t1, vverm_g13161.t2
OG0001173	dicty_g7062.t1	vverm_g10052.t1, vverm_g8991.t1
OG0001174	dicty_g10241.t1	vverm_g2736.t1, vverm_g5168.t1
OG0001175	dicty_g9660.t1	vverm_g6956.t1
OG0001175	dicty_g9656.t2, dicty_g4291.t1	vverm_g6166.t1
OG0001176	dicty_g7337.t1	vverm_g957.t1, vverm_g3499.t1, vverm_g15055.t1
OG0001177	dicty_g7122.t1	vverm_g14263.t1, vverm_g6823.t1, vverm_g6823.t2
OG0001179	dicty_g7694.t2	vverm_g703.t1, vverm_g703.t2
OG0001179	dicty_g10424.t1	vverm_g326.t1
OG0001180	dicty_g7567.t1, dicty_g7567.t2	vverm_g6007.t1, vverm_g6007.t2, vverm_g10339.t1
OG0001181	dicty_g4503.t1	vverm_g12046.t1, vverm_g1564.t1
OG0001182	dicty_g7209.t1	vverm_g13041.t1
OG0001183	dicty_g1561.t1	vverm_g8767.t1
OG0001184	dicty_g5526.t1	vverm_g16869.t1, vverm_g16869.t2
OG0001185	dicty_g10456.t1	vverm_g16157.t1, vverm_g13936.t1
OG0001186	dicty_g7838.t1	vverm_g5863.t1, vverm_g14076.t1, vverm_g6419.t1
OG0001187	dicty_g9780.t1	vverm_g12943.t2, vverm_g12943.t1
OG0001188	dicty_g5647.t1	vverm_g5183.t2, vverm_g5183.t1
OG0001189	dicty_g4690.t1	vverm_g13945.t1, vverm_g12612.t1, vverm_g7652.t1
OG0001192	dicty_g900.t2, dicty_g900.t1	vverm_g15652.t2, vverm_g15652.t3, vverm_g15652.t1
OG0001193	dicty_g8943.t1	vverm_g14278.t1, vverm_g14277.t1
OG0001195	dicty_g7866.t1	vverm_g610.t1
OG0001196	dicty_g10036.t1	vverm_g6208.t1
OG0001197	dicty_g3715.t1, dicty_g10146.t1	vverm_g13530.t1, vverm_g446.t1
OG0001198	dicty_g4888.t1	vverm_g11746.t1, vverm_g11746.t2, vverm_g15337.t1, vverm_g15337.t2, vverm_g9250.t1
OG0001199	dicty_g8588.t1	vverm_g12393.t1, vverm_g5601.t1
OG0001200	dicty_g7621.t1	vverm_g3124.t2, vverm_g3926.t2, vverm_g3124.t1, vverm_g3926.t1
OG0001201	dicty_g7965.t1	vverm_g8421.t1, vverm_g8421.t2, vverm_g8421.t3
OG0001202	dicty_g2432.t1	vverm_g4003.t1, vverm_g3262.t2, vverm_g3262.t1
OG0001203	dicty_g4553.t1	vverm_g16411.t2, vverm_g16411.t1
OG0001205	dicty_g11092.t2, dicty_g11092.t1	vverm_g13669.t1
OG0001206	dicty_g9374.t1	vverm_g10744.t1, vverm_g10563.t1, vverm_g10563.t2, vverm_g16710.t1
OG0001208	dicty_g8265.t1	vverm_g13410.t1, vverm_g3295.t1, vverm_g14021.t1
OG0001209	dicty_g5457.t2, dicty_g5457.t1	vverm_g551.t1
OG0001210	dicty_g5552.t1	vverm_g11546.t1
OG0001210	dicty_g8002.t1	vverm_g15685.t1
OG0001211	dicty_g4506.t1	vverm_g13485.t1
OG0001212	dicty_g6444.t1	vverm_g15372.t2, vverm_g15372.t1, vverm_g588.t1, vverm_g581.t3
OG0001213	dicty_g5843.t1, dicty_g5504.t1, dicty_g5504.t2	vverm_g7140.t1, vverm_g12427.t1
OG0001214	dicty_g7433.t1	vverm_g2570.t1, vverm_g2570.t2, vverm_g2570.t3
OG0001215	dicty_g4957.t1, dicty_g3233.t2, dicty_g3233.t1	vverm_g5661.t1, vverm_g151.t3, vverm_g151.t1, vverm_g151.t2
OG0001217	dicty_g8398.t1, dicty_g8398.t2	vverm_g2113.t1, vverm_g13155.t1, vverm_g12520.t1
OG0001218	dicty_g7845.t1	vverm_g7836.t1, vverm_g12368.t2, vverm_g12368.t1
OG0001219	dicty_g385.t1	vverm_g10390.t2, vverm_g10390.t1
OG0001220	dicty_g2172.t1	vverm_g2513.t1
OG0001221	dicty_g871.t1	vverm_g10588.t1, vverm_g16545.t1
OG0001222	dicty_g5289.t1	vverm_g4242.t2, vverm_g4242.t1
OG0001223	dicty_g10780.t1	vverm_g5764.t1, vverm_g5670.t1, vverm_g11139.t1
OG0001224	dicty_g3450.t1	vverm_g10205.t3, vverm_g10205.t1, vverm_g10205.t2
OG0001225	dicty_g8311.t1	vverm_g15032.t1, vverm_g15032.t2
OG0001226	dicty_g1414.t1	vverm_g9584.t1
OG0001227	dicty_g3533.t1, dicty_g3533.t3, dicty_g3533.t2, dicty_g1423.t1	vverm_g8145.t1
OG0001228	dicty_g3622.t1	vverm_g4459.t1
OG0001228	dicty_g3621.t1	vverm_g8325.t1
OG0001229	dicty_g8678.t1	vverm_g8492.t1
OG0001229	dicty_g8980.t1	vverm_g6940.t1, vverm_g6940.t2
OG0001232	dicty_g10355.t1	vverm_g9483.t1
OG0001232	dicty_g8507.t1	vverm_g3837.t1
OG0001234	dicty_g1067.t1, dicty_g7250.t1	vverm_g1792.t1
OG0001235	dicty_g10934.t1	vverm_g8358.t1, vverm_g1765.t1
OG0001236	dicty_g10549.t1	vverm_g12211.t1
OG0001237	dicty_g1708.t1, dicty_g1708.t2	vverm_g5157.t1, vverm_g5157.t2
OG0001238	dicty_g3614.t2, dicty_g3614.t1	vverm_g13368.t2, vverm_g13368.t1
OG0001239	dicty_g928.t1	vverm_g16393.t1, vverm_g12675.t1
OG0001240	dicty_g284.t2, dicty_g284.t1	vverm_g8561.t3, vverm_g8561.t1, vverm_g8561.t2
OG0001241	dicty_g8247.t1, dicty_g8247.t2, dicty_g4174.t1	vverm_g8977.t1
OG0001242	dicty_g3612.t1	vverm_g11695.t1, vverm_g11695.t2
OG0001243	dicty_g6474.t1	vverm_g10852.t1, vverm_g9976.t2
OG0001244	dicty_g307.t1	vverm_g15012.t1, vverm_g15012.t2
OG0001245	dicty_g10258.t1	vverm_g658.t1, vverm_g663.t2, vverm_g663.t1
OG0001246	dicty_g4261.t1	vverm_g754.t1, vverm_g13267.t1, vverm_g754.t2, vverm_g8184.t1
OG0001248	dicty_g6021.t1, dicty_g8375.t1	vverm_g3185.t1, vverm_g3184.t1
OG0001249	dicty_g4328.t1	vverm_g3151.t2, vverm_g3151.t1
OG0001250	dicty_g7347.t1	vverm_g3293.t1
OG0001251	dicty_g5888.t1	vverm_g7975.t1
OG0001252	dicty_g7666.t1	vverm_g12414.t1
OG0001252	dicty_g6764.t1	vverm_g14510.t1
OG0001253	dicty_g3815.t1	vverm_g8712.t1
OG0001254	dicty_g4367.t1	vverm_g10036.t2, vverm_g10036.t1
OG0001256	dicty_g9399.t1	vverm_g8957.t1, vverm_g8957.t2
OG0001257	dicty_g10501.t1	vverm_g1978.t1, vverm_g6048.t1
OG0001259	dicty_g2101.t1, dicty_g3492.t1, dicty_g3493.t1, dicty_g8938.t1	vverm_g8931.t1
OG0001261	dicty_g9638.t1	vverm_g11853.t1, vverm_g12808.t1
OG0001264	dicty_g10316.t1	vverm_g644.t1, vverm_g15645.t1
OG0001265	dicty_g11250.t1	vverm_g11865.t2, vverm_g11865.t1
OG0001266	dicty_g5940.t1	vverm_g352.t1, vverm_g352.t2
OG0001268	dicty_g267.t1	vverm_g4101.t1
OG0001269	dicty_g2639.t1, dicty_g2838.t1	vverm_g14106.t1, vverm_g14106.t2
OG0001270	dicty_g10475.t1, dicty_g1679.t1, dicty_g1679.t3, dicty_g4068.t1, dicty_g1679.t2	vverm_g11508.t1
OG0001271	dicty_g10797.t1	vverm_g11829.t2, vverm_g11829.t1
OG0001272	dicty_g489.t1, dicty_g8316.t1	vverm_g2166.t1, vverm_g2033.t1
OG0001273	dicty_g9020.t1	vverm_g10820.t1
OG0001277	dicty_g4703.t1, dicty_g10698.t1	vverm_g3577.t1, vverm_g7385.t1, vverm_g15790.t1
OG0001278	dicty_g2060.t1	vverm_g4034.t2, vverm_g8836.t1, vverm_g4034.t1, vverm_g4034.t3
OG0001288	dicty_g4914.t1	vverm_g11234.t1
OG0001295	dicty_g9355.t1	vverm_g1572.t1, vverm_g1573.t1
OG0001306	dicty_g3568.t1	vverm_g13247.t1, vverm_g14819.t1
OG0001307	dicty_g1871.t1	vverm_g8328.t1, vverm_g8321.t1
OG0001312	dicty_g7464.t1, dicty_g11086.t1	vverm_g6368.t1, vverm_g15063.t1, vverm_g6588.t1
OG0001323	dicty_g5975.t1	vverm_g4360.t1, vverm_g4360.t2, vverm_g5305.t1
OG0001369	dicty_g7186.t1	vverm_g10691.t1, vverm_g15809.t1
OG0001370	dicty_g11203.t2, dicty_g11203.t1	vverm_g2766.t1
OG0001371	dicty_g6409.t1	vverm_g9009.t1, vverm_g1689.t1
OG0001372	dicty_g7804.t2, dicty_g7804.t3, dicty_g7804.t1	vverm_g8811.t1
OG0001374	dicty_g4543.t1	vverm_g1544.t2, vverm_g1544.t1, vverm_g1775.t1, vverm_g1775.t2
OG0001375	dicty_g9663.t1	vverm_g1947.t1, vverm_g1947.t2
OG0001376	dicty_g6030.t1	vverm_g12276.t1, vverm_g9318.t1
OG0001378	dicty_g4172.t1	vverm_g946.t2, vverm_g946.t1
OG0001379	dicty_g3167.t1	vverm_g12367.t2, vverm_g12367.t1
OG0001380	dicty_g1472.t1	vverm_g11984.t1
OG0001381	dicty_g5744.t1	vverm_g4816.t1
OG0001384	dicty_g5532.t1	vverm_g11077.t1
OG0001384	dicty_g10438.t1	vverm_g11083.t1
OG0001386	dicty_g4787.t1, dicty_g898.t1, dicty_g3453.t1, dicty_g3459.t1	vverm_g6764.t1
OG0001387	dicty_g7914.t1, dicty_g6827.t1, dicty_g8147.t1	vverm_g2904.t3, vverm_g2904.t1
OG0001388	dicty_g1417.t1, dicty_g3774.t1	vverm_g4240.t1
OG0001389	dicty_g6461.t1	vverm_g4728.t2, vverm_g4728.t1
OG0001390	dicty_g8673.t1	vverm_g12084.t1, vverm_g12144.t1
OG0001391	dicty_g9327.t1	vverm_g8154.t1
OG0001392	dicty_g8366.t1	vverm_g4836.t1, vverm_g4836.t2
OG0001393	dicty_g256.t1	vverm_g11834.t1
OG0001394	dicty_g2507.t1, dicty_g2968.t1	vverm_g12316.t1, vverm_g12317.t1
OG0001395	dicty_g3457.t2, dicty_g3457.t1	vverm_g9595.t1
OG0001396	dicty_g3807.t1, dicty_g8989.t1	vverm_g4423.t1
OG0001397	dicty_g7511.t1	vverm_g15229.t1, vverm_g8705.t1
OG0001398	dicty_g5089.t1	vverm_g4866.t1
OG0001399	dicty_g9385.t1	vverm_g7475.t1
OG0001400	dicty_g6891.t1, dicty_g9649.t1, dicty_g3591.t1	vverm_g4898.t1, vverm_g8354.t1
OG0001401	dicty_g7182.t1	vverm_g16266.t1, vverm_g12138.t1
OG0001402	dicty_g4406.t1, dicty_g6883.t1	vverm_g8214.t1
OG0001403	dicty_g363.t1, dicty_g2277.t1, dicty_g2322.t1	vverm_g15552.t1
OG0001406	dicty_g7220.t3	vverm_g13179.t2, vverm_g13179.t1, vverm_g10030.t1
OG0001407	dicty_g9730.t1	vverm_g5797.t1, vverm_g5797.t2
OG0001408	dicty_g5689.t1, dicty_g4006.t1	vverm_g8019.t1
OG0001410	dicty_g5716.t1	vverm_g11969.t1
OG0001413	dicty_g11020.t1	vverm_g2197.t1
OG0001414	dicty_g4547.t2, dicty_g4547.t1	vverm_g4577.t3, vverm_g4577.t2, vverm_g4577.t1
OG0001416	dicty_g8778.t1	vverm_g6887.t2, vverm_g6887.t1, vverm_g6886.t1
OG0001418	dicty_g3705.t1	vverm_g7714.t1, vverm_g7715.t1
OG0001420	dicty_g561.t2, dicty_g561.t1	vverm_g4053.t1
OG0001421	dicty_g8162.t1	vverm_g1208.t1
OG0001422	dicty_g10929.t1	vverm_g12104.t1
OG0001423	dicty_g7054.t1	vverm_g734.t1
OG0001424	dicty_g7044.t1	vverm_g4430.t1, vverm_g12017.t1
OG0001425	dicty_g7103.t1	vverm_g5234.t1, vverm_g5234.t2, vverm_g8691.t2, vverm_g8691.t1
OG0001428	dicty_g2637.t1, dicty_g2840.t1	vverm_g5753.t1, vverm_g5574.t1
OG0001429	dicty_g11399.t1	vverm_g3815.t1
OG0001430	dicty_g7562.t1	vverm_g16201.t1, vverm_g1651.t1
OG0001431	dicty_g3975.t1	vverm_g6082.t2, vverm_g6082.t1
OG0001432	dicty_g1957.t1	vverm_g1633.t1, vverm_g1633.t2, vverm_g1633.t3
OG0001435	dicty_g6216.t1	vverm_g2278.t1
OG0001436	dicty_g4886.t1	vverm_g3618.t1
OG0001437	dicty_g6382.t1	vverm_g9283.t1, vverm_g9298.t1
OG0001438	dicty_g804.t1	vverm_g1281.t1
OG0001439	dicty_g7471.t1	vverm_g15944.t1, vverm_g5682.t1, vverm_g7445.t1
OG0001440	dicty_g666.t1, dicty_g2369.t1	vverm_g1451.t1, vverm_g1455.t1, vverm_g7561.t1
OG0001442	dicty_g6677.t1	vverm_g1351.t1, vverm_g1351.t2
OG0001443	dicty_g5919.t1	vverm_g8315.t1
OG0001444	dicty_g8317.t1	vverm_g5399.t1
OG0001446	dicty_g3133.t1	vverm_g15981.t1
OG0001449	dicty_g8011.t1	vverm_g1273.t1, vverm_g1273.t2
OG0001450	dicty_g5935.t1	vverm_g819.t2, vverm_g819.t1
OG0001451	dicty_g4695.t1	vverm_g692.t1
OG0001453	dicty_g10318.t1, dicty_g7016.t1	vverm_g14853.t1
OG0001454	dicty_g7327.t1	vverm_g14136.t1
OG0001455	dicty_g8701.t2, dicty_g8701.t1	vverm_g3073.t1, vverm_g2693.t1
OG0001456	dicty_g7318.t1	vverm_g693.t1
OG0001457	dicty_g399.t1	vverm_g8744.t1
OG0001458	dicty_g5124.t1	vverm_g9140.t1
OG0001459	dicty_g5067.t1	vverm_g1554.t2, vverm_g1554.t1
OG0001461	dicty_g6454.t1	vverm_g1161.t2, vverm_g1161.t1
OG0001462	dicty_g5256.t1	vverm_g14285.t1, vverm_g14285.t2
OG0001463	dicty_g4155.t2, dicty_g4155.t1	vverm_g15248.t2, vverm_g15248.t1
OG0001464	dicty_g8966.t1, dicty_g9818.t1	vverm_g4116.t2, vverm_g4116.t1
OG0001465	dicty_g8886.t1	vverm_g4244.t1
OG0001465	dicty_g8487.t1	vverm_g4245.t1
OG0001466	dicty_g6648.t1	vverm_g7335.t1, vverm_g861.t1, vverm_g13909.t1
OG0001467	dicty_g9499.t1, dicty_g10685.t1	vverm_g13970.t1, vverm_g11734.t1, vverm_g15385.t1
OG0001468	dicty_g7808.t1	vverm_g14707.t1, vverm_g15165.t1
OG0001469	dicty_g5212.t1	vverm_g7722.t1
OG0001470	dicty_g5032.t1	vverm_g9922.t1
OG0001472	dicty_g3598.t1	vverm_g2279.t1
OG0001472	dicty_g3367.t1	vverm_g11675.t1
OG0001473	dicty_g5650.t1	vverm_g13528.t1, vverm_g13528.t2, vverm_g445.t2
OG0001474	dicty_g4824.t1	vverm_g672.t1
OG0001475	dicty_g2545.t1, dicty_g2930.t1	vverm_g7339.t1, vverm_g7347.t1
OG0001476	dicty_g3904.t1	vverm_g14027.t1, vverm_g5912.t1, vverm_g14028.t1, vverm_g5911.t1
OG0001477	dicty_g7758.t1, dicty_g7758.t2	vverm_g4939.t2, vverm_g4939.t3, vverm_g4939.t1
OG0001478	dicty_g946.t1, dicty_g947.t1	vverm_g628.t1
OG0001479	dicty_g6544.t1	vverm_g11413.t1
OG0001480	dicty_g4240.t1	vverm_g3841.t1
OG0001481	dicty_g10853.t1	vverm_g14799.t2, vverm_g14799.t1
OG0001482	dicty_g6447.t1	vverm_g7318.t1
OG0001482	dicty_g8058.t2, dicty_g8058.t1	vverm_g13982.t1
OG0001483	dicty_g10033.t1	vverm_g1165.t1
OG0001485	dicty_g8785.t1	vverm_g11682.t1
OG0001486	dicty_g5133.t1	vverm_g8600.t1
OG0001487	dicty_g614.t1	vverm_g2771.t2, vverm_g2771.t1
OG0001489	dicty_g10953.t1	vverm_g12281.t2, vverm_g12281.t1
OG0001490	dicty_g7375.t3	vverm_g5176.t1
OG0001491	dicty_g7626.t1	vverm_g3805.t1, vverm_g8761.t1
OG0001494	dicty_g8567.t1	vverm_g13591.t1, vverm_g13591.t3
OG0001495	dicty_g9319.t1	vverm_g996.t2, vverm_g996.t1, vverm_g12113.t1, vverm_g12113.t2
OG0001496	dicty_g3589.t1	vverm_g4409.t1
OG0001497	dicty_g7634.t1	vverm_g14647.t2, vverm_g14647.t1
OG0001498	dicty_g6199.t1	vverm_g9349.t1, vverm_g5099.t1
OG0001499	dicty_g882.t1	vverm_g13391.t1, vverm_g13390.t1
OG0001500	dicty_g11162.t1	vverm_g533.t2, vverm_g533.t1
OG0001501	dicty_g371.t1, dicty_g4660.t1	vverm_g6843.t1, vverm_g1885.t1, vverm_g6295.t1
OG0001502	dicty_g4061.t1	vverm_g12200.t2, vverm_g12200.t1
OG0001503	dicty_g8449.t1	vverm_g8200.t1, vverm_g1713.t1, vverm_g4202.t1
OG0001504	dicty_g7654.t1	vverm_g13538.t1, vverm_g451.t1, vverm_g1045.t1
OG0001505	dicty_g3518.t1	vverm_g14065.t2, vverm_g5874.t2, vverm_g5874.t1, vverm_g14065.t1
OG0001506	dicty_g3747.t1	vverm_g6619.t1, vverm_g10.t1, vverm_g10.t2
OG0001507	dicty_g9353.t1	vverm_g835.t2, vverm_g835.t1
OG0001509	dicty_g1929.t1	vverm_g1278.t1
OG0001510	dicty_g233.t1, dicty_g4005.t1, dicty_g11368.t1	vverm_g1606.t1, vverm_g5313.t1
OG0001511	dicty_g8327.t1	vverm_g10322.t1
OG0001512	dicty_g1338.t1	vverm_g3104.t1, vverm_g3104.t2
OG0001514	dicty_g7082.t1	vverm_g14268.t2, vverm_g14268.t1
OG0001515	dicty_g4286.t1	vverm_g7356.t1
OG0001515	dicty_g326.t1	vverm_g7360.t1
OG0001516	dicty_g4066.t1, dicty_g10054.t1	vverm_g9265.t1, vverm_g14546.t1, vverm_g13950.t1
OG0001517	dicty_g10426.t2, dicty_g10426.t1	vverm_g10856.t1, vverm_g6463.t1
OG0001518	dicty_g1670.t1	vverm_g14806.t1, vverm_g12936.t1
OG0001519	dicty_g3370.t1, dicty_g9922.t1	vverm_g12423.t1
OG0001520	dicty_g8432.t1, dicty_g10061.t1	vverm_g10865.t1, vverm_g9203.t1, vverm_g2.t1
OG0001521	dicty_g1653.t1	vverm_g14426.t1
OG0001522	dicty_g5011.t1	vverm_g15938.t1, vverm_g5054.t1
OG0001523	dicty_g3759.t1	vverm_g11921.t1, vverm_g5154.t1
OG0001524	dicty_g11044.t1, dicty_g1310.t1	vverm_g12398.t1
OG0001525	dicty_g4373.t1	vverm_g842.t1, vverm_g843.t1
OG0001526	dicty_g1953.t2, dicty_g1953.t1	vverm_g8004.t1
OG0001527	dicty_g7112.t1	vverm_g14869.t2, vverm_g14869.t1
OG0001528	dicty_g2081.t1	vverm_g10892.t1, vverm_g10893.t1
OG0001530	dicty_g10651.t1, dicty_g1781.t1	vverm_g1943.t1
OG0001531	dicty_g4804.t1	vverm_g16506.t1, vverm_g12035.t1
