Orthogroup	vvermcdc19_braker	dicty_braker
OG0001266	vverm_g352.t1, vverm_g352.t2	dicty_g5940.t1
OG0001268	vverm_g4101.t1	dicty_g267.t1
OG0001269	vverm_g14106.t1, vverm_g14106.t2	dicty_g2639.t1, dicty_g2838.t1
OG0001270	vverm_g11508.t1	dicty_g10475.t1, dicty_g1679.t1, dicty_g1679.t3, dicty_g4068.t1, dicty_g1679.t2
OG0001271	vverm_g11829.t2, vverm_g11829.t1	dicty_g10797.t1
OG0001272	vverm_g2166.t1, vverm_g2033.t1	dicty_g489.t1, dicty_g8316.t1
OG0001273	vverm_g10820.t1	dicty_g9020.t1
OG0001277	vverm_g3577.t1, vverm_g7385.t1, vverm_g15790.t1	dicty_g4703.t1, dicty_g10698.t1
OG0001278	vverm_g4034.t2, vverm_g8836.t1, vverm_g4034.t1, vverm_g4034.t3	dicty_g2060.t1
OG0001288	vverm_g11234.t1	dicty_g4914.t1
OG0001295	vverm_g1572.t1, vverm_g1573.t1	dicty_g9355.t1
OG0001306	vverm_g13247.t1, vverm_g14819.t1	dicty_g3568.t1
OG0001307	vverm_g8328.t1, vverm_g8321.t1	dicty_g1871.t1
OG0001312	vverm_g6368.t1, vverm_g15063.t1, vverm_g6588.t1	dicty_g7464.t1, dicty_g11086.t1
OG0001323	vverm_g4360.t1, vverm_g4360.t2, vverm_g5305.t1	dicty_g5975.t1
OG0001369	vverm_g10691.t1, vverm_g15809.t1	dicty_g7186.t1
OG0001370	vverm_g2766.t1	dicty_g11203.t2, dicty_g11203.t1
OG0001371	vverm_g9009.t1, vverm_g1689.t1	dicty_g6409.t1
OG0001372	vverm_g8811.t1	dicty_g7804.t2, dicty_g7804.t3, dicty_g7804.t1
OG0001374	vverm_g1544.t2, vverm_g1544.t1, vverm_g1775.t1, vverm_g1775.t2	dicty_g4543.t1
OG0001375	vverm_g1947.t1, vverm_g1947.t2	dicty_g9663.t1
OG0001376	vverm_g12276.t1, vverm_g9318.t1	dicty_g6030.t1
OG0001378	vverm_g946.t2, vverm_g946.t1	dicty_g4172.t1
OG0001379	vverm_g12367.t2, vverm_g12367.t1	dicty_g3167.t1
OG0001380	vverm_g11984.t1	dicty_g1472.t1
OG0001381	vverm_g4816.t1	dicty_g5744.t1
OG0001384	vverm_g11077.t1	dicty_g5532.t1
OG0001384	vverm_g11083.t1	dicty_g10438.t1
OG0001386	vverm_g6764.t1	dicty_g4787.t1, dicty_g898.t1, dicty_g3453.t1, dicty_g3459.t1
OG0001387	vverm_g2904.t3, vverm_g2904.t1	dicty_g7914.t1, dicty_g6827.t1, dicty_g8147.t1
OG0001388	vverm_g4240.t1	dicty_g1417.t1, dicty_g3774.t1
OG0001389	vverm_g4728.t2, vverm_g4728.t1	dicty_g6461.t1
OG0001390	vverm_g12084.t1, vverm_g12144.t1	dicty_g8673.t1
OG0001391	vverm_g8154.t1	dicty_g9327.t1
OG0001392	vverm_g4836.t1, vverm_g4836.t2	dicty_g8366.t1
OG0001393	vverm_g11834.t1	dicty_g256.t1
OG0001394	vverm_g12316.t1, vverm_g12317.t1	dicty_g2507.t1, dicty_g2968.t1
OG0001395	vverm_g9595.t1	dicty_g3457.t2, dicty_g3457.t1
OG0001396	vverm_g4423.t1	dicty_g3807.t1, dicty_g8989.t1
OG0001397	vverm_g15229.t1, vverm_g8705.t1	dicty_g7511.t1
OG0001398	vverm_g4866.t1	dicty_g5089.t1
OG0001399	vverm_g7475.t1	dicty_g9385.t1
OG0001400	vverm_g4898.t1, vverm_g8354.t1	dicty_g6891.t1, dicty_g9649.t1, dicty_g3591.t1
OG0001401	vverm_g16266.t1, vverm_g12138.t1	dicty_g7182.t1
OG0001402	vverm_g8214.t1	dicty_g4406.t1, dicty_g6883.t1
OG0001403	vverm_g15552.t1	dicty_g363.t1, dicty_g2277.t1, dicty_g2322.t1
OG0001406	vverm_g13179.t2, vverm_g13179.t1, vverm_g10030.t1	dicty_g7220.t3
OG0001407	vverm_g5797.t1, vverm_g5797.t2	dicty_g9730.t1
OG0001408	vverm_g8019.t1	dicty_g5689.t1, dicty_g4006.t1
OG0001410	vverm_g11969.t1	dicty_g5716.t1
OG0001413	vverm_g2197.t1	dicty_g11020.t1
OG0001414	vverm_g4577.t3, vverm_g4577.t2, vverm_g4577.t1	dicty_g4547.t2, dicty_g4547.t1
OG0001416	vverm_g6887.t2, vverm_g6887.t1, vverm_g6886.t1	dicty_g8778.t1
OG0001418	vverm_g7714.t1, vverm_g7715.t1	dicty_g3705.t1
OG0001420	vverm_g4053.t1	dicty_g561.t2, dicty_g561.t1
OG0001421	vverm_g1208.t1	dicty_g8162.t1
OG0001422	vverm_g12104.t1	dicty_g10929.t1
OG0001423	vverm_g734.t1	dicty_g7054.t1
OG0001424	vverm_g4430.t1, vverm_g12017.t1	dicty_g7044.t1
OG0001425	vverm_g5234.t1, vverm_g5234.t2, vverm_g8691.t2, vverm_g8691.t1	dicty_g7103.t1
OG0001428	vverm_g5753.t1, vverm_g5574.t1	dicty_g2637.t1, dicty_g2840.t1
OG0001429	vverm_g3815.t1	dicty_g11399.t1
OG0001430	vverm_g16201.t1, vverm_g1651.t1	dicty_g7562.t1
OG0001431	vverm_g6082.t2, vverm_g6082.t1	dicty_g3975.t1
OG0001432	vverm_g1633.t1, vverm_g1633.t2, vverm_g1633.t3	dicty_g1957.t1
OG0001435	vverm_g2278.t1	dicty_g6216.t1
OG0001436	vverm_g3618.t1	dicty_g4886.t1
OG0001437	vverm_g9283.t1, vverm_g9298.t1	dicty_g6382.t1
OG0001438	vverm_g1281.t1	dicty_g804.t1
OG0001439	vverm_g15944.t1, vverm_g5682.t1, vverm_g7445.t1	dicty_g7471.t1
OG0001440	vverm_g1451.t1, vverm_g1455.t1, vverm_g7561.t1	dicty_g666.t1, dicty_g2369.t1
OG0001442	vverm_g1351.t1, vverm_g1351.t2	dicty_g6677.t1
OG0001443	vverm_g8315.t1	dicty_g5919.t1
OG0001444	vverm_g5399.t1	dicty_g8317.t1
OG0001446	vverm_g15981.t1	dicty_g3133.t1
OG0001449	vverm_g1273.t1, vverm_g1273.t2	dicty_g8011.t1
OG0001450	vverm_g819.t2, vverm_g819.t1	dicty_g5935.t1
OG0001451	vverm_g692.t1	dicty_g4695.t1
OG0001453	vverm_g14853.t1	dicty_g10318.t1, dicty_g7016.t1
OG0001454	vverm_g14136.t1	dicty_g7327.t1
OG0001455	vverm_g3073.t1, vverm_g2693.t1	dicty_g8701.t2, dicty_g8701.t1
OG0001456	vverm_g693.t1	dicty_g7318.t1
OG0001457	vverm_g8744.t1	dicty_g399.t1
OG0001458	vverm_g9140.t1	dicty_g5124.t1
OG0001459	vverm_g1554.t2, vverm_g1554.t1	dicty_g5067.t1
OG0001461	vverm_g1161.t2, vverm_g1161.t1	dicty_g6454.t1
OG0001462	vverm_g14285.t1, vverm_g14285.t2	dicty_g5256.t1
OG0001463	vverm_g15248.t2, vverm_g15248.t1	dicty_g4155.t2, dicty_g4155.t1
OG0001464	vverm_g4116.t2, vverm_g4116.t1	dicty_g8966.t1, dicty_g9818.t1
OG0001465	vverm_g4244.t1	dicty_g8886.t1
OG0001465	vverm_g4245.t1	dicty_g8487.t1
OG0001466	vverm_g7335.t1, vverm_g861.t1, vverm_g13909.t1	dicty_g6648.t1
OG0001467	vverm_g13970.t1, vverm_g11734.t1, vverm_g15385.t1	dicty_g9499.t1, dicty_g10685.t1
OG0001468	vverm_g14707.t1, vverm_g15165.t1	dicty_g7808.t1
OG0001469	vverm_g7722.t1	dicty_g5212.t1
OG0001470	vverm_g9922.t1	dicty_g5032.t1
OG0001472	vverm_g2279.t1	dicty_g3598.t1
OG0001472	vverm_g11675.t1	dicty_g3367.t1
OG0001473	vverm_g13528.t1, vverm_g13528.t2, vverm_g445.t2	dicty_g5650.t1
OG0001474	vverm_g672.t1	dicty_g4824.t1
OG0001475	vverm_g7339.t1, vverm_g7347.t1	dicty_g2545.t1, dicty_g2930.t1
OG0001476	vverm_g14027.t1, vverm_g5912.t1, vverm_g14028.t1, vverm_g5911.t1	dicty_g3904.t1
OG0001477	vverm_g4939.t2, vverm_g4939.t3, vverm_g4939.t1	dicty_g7758.t1, dicty_g7758.t2
OG0001478	vverm_g628.t1	dicty_g946.t1, dicty_g947.t1
OG0001479	vverm_g11413.t1	dicty_g6544.t1
OG0001480	vverm_g3841.t1	dicty_g4240.t1
OG0001481	vverm_g14799.t2, vverm_g14799.t1	dicty_g10853.t1
OG0001482	vverm_g7318.t1	dicty_g6447.t1
OG0001482	vverm_g13982.t1	dicty_g8058.t2, dicty_g8058.t1
OG0001483	vverm_g1165.t1	dicty_g10033.t1
OG0001485	vverm_g11682.t1	dicty_g8785.t1
OG0001486	vverm_g8600.t1	dicty_g5133.t1
OG0001487	vverm_g2771.t2, vverm_g2771.t1	dicty_g614.t1
OG0001489	vverm_g12281.t2, vverm_g12281.t1	dicty_g10953.t1
OG0001490	vverm_g5176.t1	dicty_g7375.t3
OG0001491	vverm_g3805.t1, vverm_g8761.t1	dicty_g7626.t1
OG0001494	vverm_g13591.t1, vverm_g13591.t3	dicty_g8567.t1
OG0001495	vverm_g996.t2, vverm_g996.t1, vverm_g12113.t1, vverm_g12113.t2	dicty_g9319.t1
OG0001496	vverm_g4409.t1	dicty_g3589.t1
OG0001497	vverm_g14647.t2, vverm_g14647.t1	dicty_g7634.t1
OG0001498	vverm_g9349.t1, vverm_g5099.t1	dicty_g6199.t1
OG0001499	vverm_g13391.t1, vverm_g13390.t1	dicty_g882.t1
OG0001500	vverm_g533.t2, vverm_g533.t1	dicty_g11162.t1
OG0001501	vverm_g6843.t1, vverm_g1885.t1, vverm_g6295.t1	dicty_g371.t1, dicty_g4660.t1
OG0001502	vverm_g12200.t2, vverm_g12200.t1	dicty_g4061.t1
OG0001503	vverm_g8200.t1, vverm_g1713.t1, vverm_g4202.t1	dicty_g8449.t1
OG0001504	vverm_g13538.t1, vverm_g451.t1, vverm_g1045.t1	dicty_g7654.t1
OG0001505	vverm_g14065.t2, vverm_g5874.t2, vverm_g5874.t1, vverm_g14065.t1	dicty_g3518.t1
OG0001506	vverm_g6619.t1, vverm_g10.t1, vverm_g10.t2	dicty_g3747.t1
OG0001507	vverm_g835.t2, vverm_g835.t1	dicty_g9353.t1
OG0001509	vverm_g1278.t1	dicty_g1929.t1
OG0001510	vverm_g1606.t1, vverm_g5313.t1	dicty_g233.t1, dicty_g4005.t1, dicty_g11368.t1
OG0001511	vverm_g10322.t1	dicty_g8327.t1
OG0001512	vverm_g3104.t1, vverm_g3104.t2	dicty_g1338.t1
OG0001514	vverm_g14268.t2, vverm_g14268.t1	dicty_g7082.t1
OG0001515	vverm_g7356.t1	dicty_g4286.t1
OG0001515	vverm_g7360.t1	dicty_g326.t1
OG0001516	vverm_g9265.t1, vverm_g14546.t1, vverm_g13950.t1	dicty_g4066.t1, dicty_g10054.t1
OG0001517	vverm_g10856.t1, vverm_g6463.t1	dicty_g10426.t2, dicty_g10426.t1
OG0001518	vverm_g14806.t1, vverm_g12936.t1	dicty_g1670.t1
OG0001519	vverm_g12423.t1	dicty_g3370.t1, dicty_g9922.t1
OG0001520	vverm_g10865.t1, vverm_g9203.t1, vverm_g2.t1	dicty_g8432.t1, dicty_g10061.t1
OG0001521	vverm_g14426.t1	dicty_g1653.t1
OG0001522	vverm_g15938.t1, vverm_g5054.t1	dicty_g5011.t1
OG0001523	vverm_g11921.t1, vverm_g5154.t1	dicty_g3759.t1
OG0001524	vverm_g12398.t1	dicty_g11044.t1, dicty_g1310.t1
OG0001525	vverm_g842.t1, vverm_g843.t1	dicty_g4373.t1
OG0001526	vverm_g8004.t1	dicty_g1953.t2, dicty_g1953.t1
OG0001527	vverm_g14869.t2, vverm_g14869.t1	dicty_g7112.t1
OG0001528	vverm_g10892.t1, vverm_g10893.t1	dicty_g2081.t1
OG0001530	vverm_g1943.t1	dicty_g10651.t1, dicty_g1781.t1
OG0001531	vverm_g16506.t1, vverm_g12035.t1	dicty_g4804.t1
OG0001532	vverm_g12099.t1	dicty_g5546.t1, dicty_g1678.t2, dicty_g1678.t1
OG0001533	vverm_g9809.t1	dicty_g2995.t1, dicty_g2481.t1
OG0001534	vverm_g1537.t1, vverm_g484.t1, vverm_g485.t2, vverm_g485.t1	dicty_g5301.t1
OG0001535	vverm_g14288.t1, vverm_g14288.t2	dicty_g6817.t1
OG0001536	vverm_g5274.t2, vverm_g5274.t1	dicty_g7870.t1
OG0001537	vverm_g12403.t1	dicty_g8137.t1
OG0001538	vverm_g7345.t1, vverm_g855.t1, vverm_g855.t2	dicty_g10497.t1, dicty_g11035.t1
OG0001539	vverm_g3551.t1	dicty_g9842.t1, dicty_g4944.t1
OG0001540	vverm_g15664.t2, vverm_g15664.t1	dicty_g3036.t1
OG0001542	vverm_g10527.t1, vverm_g10527.t2	dicty_g10904.t1
OG0001543	vverm_g10070.t1	dicty_g2960.t1, dicty_g2515.t1
OG0001545	vverm_g15352.t1, vverm_g15263.t1	dicty_g8593.t1
OG0001546	vverm_g6784.t1	dicty_g674.t1, dicty_g2173.t1
OG0001547	vverm_g5012.t1	dicty_g8972.t1, dicty_g7668.t1
OG0001548	vverm_g4767.t2, vverm_g4767.t1	dicty_g7189.t1
OG0001549	vverm_g2708.t1	dicty_g1956.t1
OG0001550	vverm_g8567.t1, vverm_g8567.t2	dicty_g10302.t1
OG0001552	vverm_g9626.t1	dicty_g7635.t1, dicty_g9300.t1
OG0001553	vverm_g12723.t2, vverm_g12723.t1, vverm_g2422.t1	dicty_g10631.t1
OG0001554	vverm_g14777.t2	dicty_g488.t2, dicty_g488.t1
OG0001557	vverm_g720.t1, vverm_g16942.t1	dicty_g9540.t1
OG0001558	vverm_g1515.t1	dicty_g11237.t1
OG0001559	vverm_g15348.t2, vverm_g15348.t1	dicty_g9379.t1
OG0001560	vverm_g14645.t1	dicty_g5412.t1
OG0001561	vverm_g16681.t1	dicty_g7984.t1
OG0001562	vverm_g14658.t1	dicty_g8838.t1, dicty_g8838.t2
OG0001563	vverm_g15329.t2, vverm_g15329.t1	dicty_g10907.t1
OG0001564	vverm_g12792.t1, vverm_g12792.t2	dicty_g2663.t1, dicty_g2814.t1
OG0001565	vverm_g14675.t1, vverm_g6844.t1, vverm_g1062.t1, vverm_g1062.t2	dicty_g9208.t1
OG0001566	vverm_g3005.t1	dicty_g1790.t1
OG0001569	vverm_g11446.t1	dicty_g7031.t1
OG0001570	vverm_g9370.t1	dicty_g11109.t1
OG0001571	vverm_g14772.t1, vverm_g5715.t1	dicty_g6825.t1
OG0001572	vverm_g328.t1	dicty_g1951.t1
OG0001573	vverm_g4700.t1, vverm_g11182.t1, vverm_g268.t1	dicty_g10266.t1
OG0001574	vverm_g14835.t1	dicty_g6789.t1, dicty_g6789.t2
OG0001575	vverm_g3608.t1	dicty_g4608.t1, dicty_g9748.t1
OG0001576	vverm_g6279.t1	dicty_g9395.t1
OG0001577	vverm_g13741.t1, vverm_g13741.t2, vverm_g13741.t3	dicty_g2018.t1
OG0001578	vverm_g10071.t1	dicty_g7913.t1, dicty_g6217.t1
OG0001578	vverm_g15545.t1	dicty_g10729.t1
OG0001579	vverm_g397.t1	dicty_g10238.t1
OG0001581	vverm_g12021.t1, vverm_g12021.t2	dicty_g9425.t2, dicty_g9425.t1
OG0001582	vverm_g3752.t1	dicty_g3337.t1
OG0001583	vverm_g15423.t1, vverm_g15426.t1	dicty_g1907.t1
OG0001584	vverm_g15465.t1, vverm_g15461.t1	dicty_g6338.t1
OG0001585	vverm_g230.t1, vverm_g14980.t1	dicty_g10423.t1
OG0001586	vverm_g7616.t1	dicty_g6528.t1, dicty_g3899.t1
OG0001587	vverm_g12223.t1	dicty_g7329.t1
OG0001590	vverm_g7034.t1	dicty_g6232.t1
OG0001591	vverm_g16451.t1, vverm_g16451.t2	dicty_g10309.t1
OG0001592	vverm_g11555.t1, vverm_g16385.t1	dicty_g10975.t1
OG0001593	vverm_g12683.t1	dicty_g6903.t1
OG0001594	vverm_g7035.t1, vverm_g7035.t2	dicty_g8849.t1
OG0001595	vverm_g6990.t1	dicty_g7916.t1, dicty_g7620.t1
OG0001596	vverm_g3018.t1	dicty_g1646.t2
OG0001597	vverm_g643.t1	dicty_g677.t1, dicty_g677.t2
OG0001598	vverm_g8374.t1, vverm_g8374.t2	dicty_g2019.t1
OG0001599	vverm_g8967.t1	dicty_g4043.t1, dicty_g4041.t1, dicty_g4042.t1
OG0001600	vverm_g11708.t1, vverm_g11708.t2, vverm_g4283.t1	dicty_g3162.t1
OG0001601	vverm_g3279.t1, vverm_g13722.t2, vverm_g13722.t1	dicty_g2092.t1
OG0001602	vverm_g5207.t1	dicty_g7438.t1
OG0001603	vverm_g2573.t1	dicty_g8712.t1
OG0001604	vverm_g5873.t1, vverm_g14066.t2, vverm_g14066.t1	dicty_g7310.t1
OG0001606	vverm_g13807.t1	dicty_g8816.t1, dicty_g8816.t2
OG0001608	vverm_g2817.t1, vverm_g2817.t2	dicty_g298.t1
OG0001609	vverm_g566.t1	dicty_g9299.t1
OG0001610	vverm_g10282.t1	dicty_g11467.t1, dicty_g10810.t1
OG0001611	vverm_g12389.t1, vverm_g14863.t1	dicty_g10363.t1
OG0001612	vverm_g14976.t1, vverm_g4323.t1	dicty_g4761.t1
OG0001614	vverm_g1912.t1	dicty_g9172.t2, dicty_g9172.t1, dicty_g9172.t3
OG0001616	vverm_g9180.t1	dicty_g2207.t1
OG0001618	vverm_g16345.t2, vverm_g16345.t1	dicty_g4882.t1
OG0001619	vverm_g9711.t3, vverm_g9711.t1, vverm_g2682.t1, vverm_g2682.t3	dicty_g4306.t1
OG0001621	vverm_g945.t2, vverm_g945.t1	dicty_g6776.t1
OG0001622	vverm_g14440.t1	dicty_g11484.t1
OG0001623	vverm_g3575.t1, vverm_g3575.t2	dicty_g1868.t1
OG0001624	vverm_g8462.t2, vverm_g8462.t1	dicty_g5944.t1, dicty_g5945.t1, dicty_g7359.t1, dicty_g8275.t1
OG0001625	vverm_g15814.t1, vverm_g15815.t1, vverm_g16030.t1, vverm_g3870.t1	dicty_g7507.t1, dicty_g7509.t1, dicty_g7508.t1
OG0001626	vverm_g11008.t1, vverm_g11023.t1	dicty_g8184.t1, dicty_g5454.t1
OG0001627	vverm_g6493.t1, vverm_g6493.t2, vverm_g6493.t3, vverm_g4827.t1, vverm_g16558.t1	dicty_g4345.t1
OG0001628	vverm_g10328.t2, vverm_g10454.t1	dicty_g8488.t1
OG0001629	vverm_g9873.t1	dicty_g10315.t2, dicty_g10315.t1, dicty_g10315.t3
OG0001631	vverm_g392.t1, vverm_g392.t2	dicty_g10807.t1, dicty_g10807.t2
OG0001633	vverm_g12640.t1, vverm_g12640.t2	dicty_g4664.t1
OG0001634	vverm_g10334.t2, vverm_g10334.t3, vverm_g10334.t1	dicty_g9884.t1
OG0001637	vverm_g12582.t1	dicty_g9514.t1
OG0001638	vverm_g16281.t1	dicty_g4303.t1, dicty_g5751.t1, dicty_g3433.t1, dicty_g7774.t1
OG0001639	vverm_g1833.t1, vverm_g6537.t1, vverm_g2533.t2, vverm_g2533.t1	dicty_g3779.t1
OG0001640	vverm_g1450.t1, vverm_g7535.t1, vverm_g6230.t1	dicty_g5064.t1, dicty_g10380.t1
OG0001642	vverm_g9925.t2, vverm_g9925.t1	dicty_g394.t1
OG0001643	vverm_g9437.t1	dicty_g10317.t1
OG0001645	vverm_g4572.t1, vverm_g4572.t2	dicty_g10773.t1, dicty_g10773.t2
OG0001647	vverm_g104.t1	dicty_g5508.t1
OG0001647	vverm_g7846.t1	dicty_g2601.t1, dicty_g2875.t1
OG0001648	vverm_g12194.t1, vverm_g16605.t1	dicty_g6956.t1
OG0001649	vverm_g16838.t1	dicty_g6997.t1
OG0001650	vverm_g7156.t1, vverm_g7146.t1	dicty_g9049.t1, dicty_g719.t3
OG0001651	vverm_g13814.t2, vverm_g13814.t1	dicty_g3456.t1
OG0001652	vverm_g2545.t1	dicty_g6459.t1
OG0001654	vverm_g12599.t2, vverm_g12599.t1, vverm_g1931.t2, vverm_g1931.t1	dicty_g8561.t1
OG0001655	vverm_g1664.t1, vverm_g1664.t2	dicty_g8273.t1
OG0001657	vverm_g13597.t1, vverm_g2261.t1	dicty_g1033.t1
OG0001658	vverm_g9589.t3, vverm_g9589.t2, vverm_g9589.t1	dicty_g7975.t1, dicty_g7975.t2
OG0001659	vverm_g15542.t1	dicty_g4702.t1
OG0001660	vverm_g11100.t1	dicty_g10057.t1
OG0001660	vverm_g9100.t1	dicty_g4915.t1
OG0001661	vverm_g5262.t1	dicty_g7579.t1, dicty_g7581.t1, dicty_g7581.t2
OG0001663	vverm_g8955.t1	dicty_g3709.t1
OG0001666	vverm_g4487.t1	dicty_g1978.t1, dicty_g1978.t2
OG0001667	vverm_g4850.t1	dicty_g8867.t1
OG0001669	vverm_g14243.t1, vverm_g16177.t1, vverm_g16177.t2	dicty_g7334.t2
OG0001670	vverm_g5259.t1, vverm_g2913.t1	dicty_g6519.t1
OG0001671	vverm_g13154.t1, vverm_g12519.t1, vverm_g13154.t2	dicty_g9131.t1
OG0001673	vverm_g13086.t1, vverm_g13067.t1, vverm_g8278.t1, vverm_g12129.t1	dicty_g6385.t1
OG0001674	vverm_g6862.t1, vverm_g15151.t3, vverm_g6862.t2	dicty_g6957.t1
OG0001675	vverm_g4958.t2, vverm_g4958.t1, vverm_g4957.t1, vverm_g3045.t1, vverm_g10887.t1, vverm_g4958.t3	dicty_g5887.t1
OG0001676	vverm_g4852.t1	dicty_g7839.t1
OG0001677	vverm_g1524.t1	dicty_g1211.t1
OG0001678	vverm_g8011.t1	dicty_g3530.t1
OG0001679	vverm_g11280.t1	dicty_g9778.t1, dicty_g268.t1, dicty_g9777.t1, dicty_g9776.t1
OG0001680	vverm_g15279.t1	dicty_g8460.t1
OG0001680	vverm_g15299.t1, vverm_g15299.t2	dicty_g9853.t1
OG0001681	vverm_g13369.t1	dicty_g966.t1, dicty_g966.t2
OG0001682	vverm_g6838.t1, vverm_g2978.t1, vverm_g2978.t2	dicty_g7211.t1
OG0001683	vverm_g6333.t1, vverm_g6329.t1	dicty_g606.t1
OG0001684	vverm_g3055.t1, vverm_g4507.t1	dicty_g10616.t1, dicty_g10616.t2
OG0001685	vverm_g5193.t1, vverm_g5191.t1	dicty_g4535.t1
OG0001686	vverm_g8647.t1, vverm_g4174.t1	dicty_g1315.t1, dicty_g11340.t1
OG0001687	vverm_g5254.t1, vverm_g16238.t1	dicty_g8224.t1
OG0001688	vverm_g5566.t2, vverm_g5566.t1	dicty_g10562.t1
OG0001689	vverm_g11638.t1	dicty_g9132.t1
OG0001691	vverm_g1289.t1	dicty_g587.t2, dicty_g587.t1
OG0001692	vverm_g15861.t1	dicty_g7166.t1
OG0001695	vverm_g12772.t1, vverm_g1530.t1	dicty_g7170.t1
OG0001697	vverm_g14916.t1	dicty_g9928.t2, dicty_g9928.t1, dicty_g2591.t1, dicty_g2885.t1
OG0001698	vverm_g10938.t1	dicty_g2698.t1, dicty_g2779.t1
OG0001699	vverm_g2991.t1	dicty_g1914.t1, dicty_g7064.t1, dicty_g2112.t1, dicty_g8759.t1, dicty_g5620.t1
OG0001700	vverm_g12703.t1	dicty_g7606.t1
OG0001701	vverm_g4421.t1	dicty_g360.t1
OG0001702	vverm_g15710.t2, vverm_g15710.t1	dicty_g198.t1
OG0001703	vverm_g1924.t1	dicty_g6918.t1
OG0001705	vverm_g3195.t3, vverm_g3195.t1	dicty_g1117.t1, dicty_g4321.t1
OG0001706	vverm_g12397.t1	dicty_g10947.t1
OG0001707	vverm_g16836.t1	dicty_g11313.t1
OG0001708	vverm_g12708.t1, vverm_g1195.t1	dicty_g5156.t1
OG0001709	vverm_g8165.t1, vverm_g7718.t1	dicty_g5626.t1, dicty_g1766.t1
OG0001712	vverm_g9585.t2, vverm_g9585.t1	dicty_g10394.t1
OG0001713	vverm_g8199.t1, vverm_g2897.t1	dicty_g7443.t1
OG0001721	vverm_g5205.t3, vverm_g5205.t2, vverm_g5205.t1	dicty_g8258.t1, dicty_g11146.t1
OG0001748	vverm_g4444.t1	dicty_g1557.t1, dicty_g5337.t1, dicty_g885.t1, dicty_g9060.t1, dicty_g788.t1
OG0001752	vverm_g7214.t1	dicty_g932.t1
OG0001760	vverm_g10799.t1, vverm_g9983.t1, vverm_g13645.t1	dicty_g3809.t1
OG0001762	vverm_g13165.t1, vverm_g12530.t1	dicty_g6009.t1
OG0001764	vverm_g645.t2, vverm_g645.t1	dicty_g5895.t1
OG0001765	vverm_g16332.t1, vverm_g16332.t2	dicty_g1519.t3, dicty_g9871.t1
OG0001766	vverm_g1153.t1, vverm_g1153.t2	dicty_g6177.t1, dicty_g6176.t1
OG0001767	vverm_g3722.t1	dicty_g10056.t2, dicty_g10056.t1
OG0001770	vverm_g15287.t3, vverm_g15287.t1	dicty_g3642.t1, dicty_g6192.t1, dicty_g10960.t1, dicty_g197.t1
OG0001774	vverm_g14940.t1, vverm_g6626.t2, vverm_g6.t1, vverm_g6626.t1, vverm_g6.t2	dicty_g6449.t1
OG0001775	vverm_g8394.t3, vverm_g8394.t1, vverm_g8394.t2	dicty_g6605.t1
OG0001777	vverm_g13803.t3, vverm_g13803.t1	dicty_g6679.t1
OG0001778	vverm_g8195.t1, vverm_g8195.t2	dicty_g7184.t1
OG0001779	vverm_g7636.t1, vverm_g543.t1, vverm_g5440.t1	dicty_g7233.t1
OG0001781	vverm_g6161.t1, vverm_g14174.t1, vverm_g11227.t1, vverm_g9083.t1, vverm_g9081.t1	dicty_g5355.t1
OG0001782	vverm_g9021.t1, vverm_g482.t1, vverm_g482.t2	dicty_g9653.t1
OG0001783	vverm_g8167.t1	dicty_g4723.t1
OG0001784	vverm_g521.t1	dicty_g11134.t1
OG0001785	vverm_g12801.t1, vverm_g12801.t2, vverm_g12801.t3, vverm_g11431.t1	dicty_g9147.t2, dicty_g9147.t1
OG0001787	vverm_g13362.t1	dicty_g5091.t1, dicty_g4954.t1
OG0001802	vverm_g15737.t1, vverm_g15737.t2, vverm_g1508.t1, vverm_g2163.t1	dicty_g3624.t1, dicty_g4989.t1, dicty_g8152.t1, dicty_g3322.t1
OG0001804	vverm_g10927.t1, vverm_g10898.t1, vverm_g13567.t1, vverm_g13038.t1, vverm_g2911.t1, vverm_g16842.t2, vverm_g16842.t1	dicty_g6481.t1
OG0001805	vverm_g5705.t1, vverm_g5703.t1, vverm_g5699.t1, vverm_g5702.t1, vverm_g5700.t1, vverm_g5704.t2, vverm_g5704.t1	dicty_g7576.t1
OG0001806	vverm_g1091.t1	dicty_g8967.t1, dicty_g8999.t2, dicty_g8999.t1, dicty_g9001.t1, dicty_g9000.t1, dicty_g8643.t1, dicty_g8643.t2
OG0001850	vverm_g2790.t1	dicty_g5544.t1
OG0001852	vverm_g2550.t1	dicty_g7362.t1
OG0001855	vverm_g6072.t1	dicty_g3802.t1
OG0001856	vverm_g8676.t1, vverm_g8676.t2	dicty_g9057.t1
OG0001857	vverm_g6228.t2, vverm_g6228.t1	dicty_g1864.t1
OG0001858	vverm_g6558.t1, vverm_g15266.t1	dicty_g3772.t1
OG0001859	vverm_g6450.t1	dicty_g9464.t1
OG0001860	vverm_g7691.t2, vverm_g7691.t1	dicty_g8813.t1
OG0001861	vverm_g10515.t1	dicty_g7785.t1
OG0001862	vverm_g10478.t3, vverm_g10478.t2, vverm_g10478.t1	dicty_g2151.t1
OG0001863	vverm_g6275.t1	dicty_g8621.t1
OG0001864	vverm_g8386.t1	dicty_g1135.t1
OG0001865	vverm_g11597.t1, vverm_g16095.t1, vverm_g9840.t1	dicty_g8000.t1
