Orthogroup	bc2002_braker	acastellanii_braker
OG0001205	bc2002_g12630.t1, bc2002_g8141.t1	acastellanii_g8029.t1
OG0001206	bc2002_g4932.t1	acastellanii_g8040.t1, acastellanii_g2502.t1
OG0001207	bc2002_g15556.t1	acastellanii_g8089.t1, acastellanii_g5374.t1
OG0001208	bc2002_g7756.t1	acastellanii_g8190.t1, acastellanii_g8188.t1
OG0001209	bc2002_g14912.t2, bc2002_g14912.t1	acastellanii_g8275.t1, acastellanii_g8275.t2
OG0001211	bc2002_g8547.t1	acastellanii_g8343.t1
OG0001212	bc2002_g3259.t1	acastellanii_g360.t1, acastellanii_g8345.t1
OG0001214	bc2002_g15940.t2, bc2002_g15940.t1	acastellanii_g7794.t1
OG0001216	bc2002_g18361.t1, bc2002_g16693.t2, bc2002_g16693.t1	acastellanii_g7817.t1
OG0001217	bc2002_g12397.t1	acastellanii_g6605.t1, acastellanii_g7521.t1
OG0001218	bc2002_g19198.t1	acastellanii_g7538.t1, acastellanii_g7536.t1
OG0001219	bc2002_g16741.t1	acastellanii_g3663.t1, acastellanii_g1757.t1, acastellanii_g1258.t1, acastellanii_g7562.t1
OG0001220	bc2002_g19690.t1	acastellanii_g6986.t1, acastellanii_g6986.t3, acastellanii_g6986.t5, acastellanii_g6986.t2
OG0001221	bc2002_g12102.t1	acastellanii_g7025.t1, acastellanii_g2013.t1
OG0001221	bc2002_g3888.t1	acastellanii_g5001.t1
OG0001222	bc2002_g1914.t1	acastellanii_g4174.t1, acastellanii_g7209.t3, acastellanii_g7209.t1, acastellanii_g7209.t2
OG0001223	bc2002_g13033.t1, bc2002_g2993.t1	acastellanii_g6721.t1
OG0001224	bc2002_g2445.t1	acastellanii_g6139.t1
OG0001225	bc2002_g2630.t1, bc2002_g2630.t3, bc2002_g2630.t2	acastellanii_g6235.t1, acastellanii_g6235.t2
OG0001226	bc2002_g1613.t1	acastellanii_g4407.t2, acastellanii_g4407.t1
OG0001227	bc2002_g9244.t1	acastellanii_g6529.t1
OG0001228	bc2002_g5118.t1	acastellanii_g5902.t1
OG0001228	bc2002_g7015.t1	acastellanii_g6613.t1
OG0001229	bc2002_g8873.t1	acastellanii_g5955.t1
OG0001230	bc2002_g8744.t1	acastellanii_g5959.t1, acastellanii_g5619.t1
OG0001232	bc2002_g734.t1	acastellanii_g5905.t1
OG0001233	bc2002_g9824.t1	acastellanii_g5812.t1, acastellanii_g1217.t2, acastellanii_g1217.t1
OG0001234	bc2002_g6754.t1	acastellanii_g3472.t2, acastellanii_g3472.t1, acastellanii_g5854.t2, acastellanii_g5854.t1
OG0001235	bc2002_g7495.t1, bc2002_g11653.t1	acastellanii_g4875.t1, acastellanii_g5390.t1
OG0001236	bc2002_g9431.t2, bc2002_g9431.t1	acastellanii_g5360.t2, acastellanii_g5360.t1
OG0001237	bc2002_g4162.t2, bc2002_g4162.t1	acastellanii_g5221.t1
OG0001238	bc2002_g16135.t1, bc2002_g16135.t2	acastellanii_g5227.t1
OG0001239	bc2002_g4508.t1, bc2002_g10916.t1	acastellanii_g4902.t2, acastellanii_g4902.t1
OG0001240	bc2002_g9809.t1	acastellanii_g4716.t1
OG0001241	bc2002_g10478.t1	acastellanii_g4725.t1, acastellanii_g1799.t1
OG0001242	bc2002_g1632.t1	acastellanii_g2642.t1, acastellanii_g4520.t1
OG0001243	bc2002_g18789.t1, bc2002_g10306.t1	acastellanii_g4492.t1
OG0001244	bc2002_g14261.t1	acastellanii_g4397.t2, acastellanii_g4397.t1, acastellanii_g4397.t3, acastellanii_g4395.t1
OG0001245	bc2002_g17446.t1	acastellanii_g4457.t1, acastellanii_g4457.t2
OG0001246	bc2002_g17497.t1, bc2002_g17497.t2	acastellanii_g4146.t1
OG0001247	bc2002_g16463.t1	acastellanii_g4161.t1, acastellanii_g4161.t2, acastellanii_g4161.t3
OG0001248	bc2002_g13783.t1	acastellanii_g4250.t2, acastellanii_g4250.t1
OG0001249	bc2002_g9826.t1	acastellanii_g298.t1, acastellanii_g4301.t1, acastellanii_g300.t1, acastellanii_g300.t2
OG0001250	bc2002_g7757.t1	acastellanii_g4304.t1, acastellanii_g4304.t2, acastellanii_g4304.t3, acastellanii_g4304.t4
OG0001251	bc2002_g11926.t1, bc2002_g11926.t2	acastellanii_g4003.t1, acastellanii_g927.t1, acastellanii_g2773.t1, acastellanii_g2773.t2
OG0001252	bc2002_g8256.t1, bc2002_g6414.t1	acastellanii_g3975.t1
OG0001253	bc2002_g17620.t1, bc2002_g17620.t2, bc2002_g17620.t3	acastellanii_g3419.t1
OG0001254	bc2002_g12196.t1	acastellanii_g3272.t3, acastellanii_g3272.t1, acastellanii_g3272.t2
OG0001255	bc2002_g16730.t1	acastellanii_g3217.t1
OG0001256	bc2002_g10395.t2, bc2002_g10395.t1	acastellanii_g3042.t1
OG0001257	bc2002_g875.t1, bc2002_g876.t1	acastellanii_g3100.t1
OG0001258	bc2002_g975.t2, bc2002_g975.t1	acastellanii_g1858.t1, acastellanii_g2799.t1, acastellanii_g2799.t2
OG0001259	bc2002_g10298.t1	acastellanii_g2699.t1
OG0001261	bc2002_g5390.t1	acastellanii_g2659.t2, acastellanii_g2659.t1, acastellanii_g2387.t1
OG0001262	bc2002_g8529.t1, bc2002_g10817.t1, bc2002_g10817.t2	acastellanii_g2607.t1, acastellanii_g2607.t2, acastellanii_g643.t1
OG0001263	bc2002_g10872.t1	acastellanii_g1880.t1, acastellanii_g1880.t2
OG0001264	bc2002_g17438.t1	acastellanii_g2133.t1
OG0001264	bc2002_g14909.t2	acastellanii_g831.t1
OG0001265	bc2002_g5357.t2, bc2002_g5357.t1	acastellanii_g1761.t1, acastellanii_g1761.t2
OG0001266	bc2002_g14524.t2, bc2002_g14524.t1	acastellanii_g1740.t1, acastellanii_g1740.t2
OG0001267	bc2002_g6847.t1, bc2002_g3937.t1	acastellanii_g1721.t1
OG0001268	bc2002_g6123.t2, bc2002_g6123.t1	acastellanii_g803.t2, acastellanii_g803.t1
OG0001269	bc2002_g10359.t1	acastellanii_g884.t1, acastellanii_g884.t2, acastellanii_g309.t1
OG0001270	bc2002_g6174.t1	acastellanii_g676.t1
OG0001271	bc2002_g5329.t2, bc2002_g5329.t1	acastellanii_g634.t1, acastellanii_g634.t2
OG0001272	bc2002_g2847.t2, bc2002_g2847.t1	acastellanii_g270.t1
OG0001273	bc2002_g18751.t1	acastellanii_g73.t2, acastellanii_g73.t1, acastellanii_g73.t3
OG0001370	bc2002_g1644.t1	acastellanii_g14203.t1, acastellanii_g10418.t1
OG0001371	bc2002_g11886.t1	acastellanii_g14145.t1, acastellanii_g12977.t1
OG0001372	bc2002_g4198.t1	acastellanii_g14105.t2, acastellanii_g14105.t1
OG0001374	bc2002_g9847.t1	acastellanii_g13560.t1
OG0001375	bc2002_g13166.t1	acastellanii_g3457.t1, acastellanii_g13566.t1
OG0001376	bc2002_g9496.t1	acastellanii_g13581.t1
OG0001377	bc2002_g8027.t1	acastellanii_g13670.t1
OG0001378	bc2002_g227.t2, bc2002_g227.t1	acastellanii_g13681.t1
OG0001380	bc2002_g12634.t3, bc2002_g12634.t2, bc2002_g12634.t1	acastellanii_g13739.t1
OG0001381	bc2002_g16652.t3, bc2002_g16652.t2, bc2002_g16652.t1	acastellanii_g13833.t1
OG0001384	bc2002_g7230.t1	acastellanii_g12872.t1
OG0001385	bc2002_g8043.t1	acastellanii_g11660.t1, acastellanii_g13909.t1
OG0001387	bc2002_g1622.t1	acastellanii_g13974.t1
OG0001388	bc2002_g2669.t1	acastellanii_g12272.t1, acastellanii_g12272.t2, acastellanii_g13977.t1
OG0001389	bc2002_g17273.t1	acastellanii_g14010.t3, acastellanii_g14010.t2, acastellanii_g14010.t1
OG0001391	bc2002_g9264.t1	acastellanii_g14024.t1, acastellanii_g3425.t1, acastellanii_g1370.t1, acastellanii_g4557.t1
OG0001392	bc2002_g8736.t1	acastellanii_g14038.t1, acastellanii_g5825.t1
OG0001393	bc2002_g5335.t1	acastellanii_g14061.t1, acastellanii_g14061.t2
OG0001394	bc2002_g10562.t1	acastellanii_g14079.t1
OG0001395	bc2002_g18908.t1	acastellanii_g13514.t1
OG0001396	bc2002_g13573.t1	acastellanii_g6789.t1, acastellanii_g13525.t1
OG0001397	bc2002_g17624.t1	acastellanii_g2038.t1, acastellanii_g13494.t1
OG0001398	bc2002_g16705.t1	acastellanii_g13067.t1, acastellanii_g13067.t2, acastellanii_g4245.t2, acastellanii_g4245.t1
OG0001399	bc2002_g10570.t2, bc2002_g10570.t1	acastellanii_g13077.t1
OG0001401	bc2002_g2518.t1, bc2002_g9382.t1	acastellanii_g13103.t1
OG0001402	bc2002_g14371.t1	acastellanii_g13112.t1, acastellanii_g896.t1, acastellanii_g4281.t1
OG0001406	bc2002_g15664.t1	acastellanii_g13298.t1, acastellanii_g13298.t2
OG0001407	bc2002_g13332.t1	acastellanii_g13320.t1, acastellanii_g13320.t3, acastellanii_g13320.t2
OG0001408	bc2002_g20057.t1	acastellanii_g12720.t1, acastellanii_g12727.t1, acastellanii_g13354.t1
OG0001409	bc2002_g16897.t1	acastellanii_g5426.t1
OG0001410	bc2002_g16847.t1, bc2002_g16847.t2	acastellanii_g13395.t1, acastellanii_g13395.t2
OG0001411	bc2002_g2975.t1, bc2002_g2975.t2	acastellanii_g12636.t1, acastellanii_g13416.t1, acastellanii_g3326.t1
OG0001413	bc2002_g18400.t2, bc2002_g18400.t1	acastellanii_g1800.t1, acastellanii_g13046.t1
OG0001414	bc2002_g16146.t1	acastellanii_g13016.t1
OG0001415	bc2002_g11152.t1, bc2002_g11159.t1	acastellanii_g9130.t1, acastellanii_g13022.t1, acastellanii_g13022.t2
OG0001416	bc2002_g17423.t1	acastellanii_g11774.t1, acastellanii_g13027.t1
OG0001418	bc2002_g19348.t1, bc2002_g19348.t2	acastellanii_g9914.t1, acastellanii_g12982.t1
OG0001419	bc2002_g16385.t1	acastellanii_g12997.t1, acastellanii_g6767.t1, acastellanii_g6766.t1, acastellanii_g5262.t1, acastellanii_g1805.t1
OG0001420	bc2002_g717.t1	acastellanii_g12974.t1, acastellanii_g7293.t1
OG0001421	bc2002_g7955.t2, bc2002_g7955.t1	acastellanii_g12858.t2, acastellanii_g12858.t1
OG0001422	bc2002_g7990.t1, bc2002_g7968.t1	acastellanii_g12868.t1
OG0001423	bc2002_g17501.t2, bc2002_g17501.t1	acastellanii_g12798.t1, acastellanii_g159.t1, acastellanii_g12797.t1
OG0001424	bc2002_g4369.t1	acastellanii_g6702.t1
OG0001425	bc2002_g2419.t1	acastellanii_g12625.t1
OG0001426	bc2002_g8791.t1	acastellanii_g12532.t1, acastellanii_g1702.t1, acastellanii_g1702.t2, acastellanii_g12532.t2
OG0001427	bc2002_g9343.t1	acastellanii_g12540.t1, acastellanii_g11780.t1, acastellanii_g11780.t2, acastellanii_g12540.t2
OG0001428	bc2002_g8016.t1	acastellanii_g12567.t1
OG0001429	bc2002_g1960.t1, bc2002_g1960.t2	acastellanii_g12469.t1
OG0001430	bc2002_g11819.t1	acastellanii_g7454.t1
OG0001431	bc2002_g11148.t1, bc2002_g11163.t1	acastellanii_g12400.t1
OG0001432	bc2002_g11897.t1	acastellanii_g12384.t1, acastellanii_g5294.t1
OG0001435	bc2002_g2324.t2, bc2002_g2324.t1	acastellanii_g5109.t1, acastellanii_g12361.t1, acastellanii_g6355.t1
OG0001436	bc2002_g13902.t1	acastellanii_g12346.t1, acastellanii_g11542.t1, acastellanii_g11543.t1
OG0001437	bc2002_g17137.t1	acastellanii_g11067.t1, acastellanii_g12319.t1
OG0001438	bc2002_g10126.t2, bc2002_g10126.t1	acastellanii_g11810.t1, acastellanii_g3945.t1
OG0001439	bc2002_g7670.t1	acastellanii_g11812.t1, acastellanii_g11827.t1
OG0001440	bc2002_g17340.t1	acastellanii_g11867.t1
OG0001442	bc2002_g14645.t1, bc2002_g11399.t1	acastellanii_g11892.t1
OG0001443	bc2002_g19294.t1, bc2002_g19294.t2, bc2002_g19294.t3	acastellanii_g11906.t1
OG0001444	bc2002_g12175.t1, bc2002_g12175.t2	acastellanii_g8016.t1, acastellanii_g11967.t1
OG0001445	bc2002_g14427.t1, bc2002_g2794.t1, bc2002_g7633.t1	acastellanii_g11974.t1
OG0001446	bc2002_g3064.t1, bc2002_g4570.t1, bc2002_g4570.t2	acastellanii_g11980.t1
OG0001448	bc2002_g17311.t2, bc2002_g17311.t1	acastellanii_g11991.t1
OG0001449	bc2002_g10065.t1	acastellanii_g1450.t1, acastellanii_g12003.t1, acastellanii_g12003.t2
OG0001450	bc2002_g788.t1	acastellanii_g8556.t1, acastellanii_g12028.t1, acastellanii_g12028.t2
OG0001451	bc2002_g17475.t1	acastellanii_g11487.t1, acastellanii_g8841.t2, acastellanii_g8841.t1, acastellanii_g12032.t1
OG0001453	bc2002_g1099.t1, bc2002_g1099.t2	acastellanii_g12090.t1
OG0001454	bc2002_g11750.t1	acastellanii_g3844.t1
OG0001454	bc2002_g1098.t1	acastellanii_g12128.t1
OG0001455	bc2002_g17002.t1	acastellanii_g12217.t1, acastellanii_g12217.t2
OG0001456	bc2002_g17474.t1	acastellanii_g599.t1, acastellanii_g12259.t2, acastellanii_g12259.t1, acastellanii_g11363.t1
OG0001457	bc2002_g17674.t1	acastellanii_g3980.t1, acastellanii_g12274.t3, acastellanii_g12274.t2, acastellanii_g12274.t1
OG0001458	bc2002_g8408.t1	acastellanii_g11211.t1, acastellanii_g12301.t1, acastellanii_g80.t1
OG0001459	bc2002_g9893.t1	acastellanii_g4258.t1, acastellanii_g11794.t1
OG0001460	bc2002_g716.t1	acastellanii_g11768.t1, acastellanii_g9671.t1, acastellanii_g9673.t1
OG0001461	bc2002_g18487.t1, bc2002_g18487.t2	acastellanii_g11631.t1
OG0001462	bc2002_g11127.t1, bc2002_g11125.t1	acastellanii_g11682.t1
OG0001463	bc2002_g4287.t1	acastellanii_g11702.t1
OG0001464	bc2002_g2024.t1	acastellanii_g11703.t1, acastellanii_g11703.t2
OG0001465	bc2002_g1920.t1	acastellanii_g7191.t1
OG0001466	bc2002_g291.t1	acastellanii_g4585.t1
OG0001468	bc2002_g12516.t1	acastellanii_g2776.t1, acastellanii_g11562.t1, acastellanii_g2777.t1
OG0001469	bc2002_g19265.t1, bc2002_g19265.t2	acastellanii_g11433.t1, acastellanii_g11433.t2
OG0001470	bc2002_g3755.t1, bc2002_g3755.t2	acastellanii_g11449.t2, acastellanii_g11449.t1
OG0001471	bc2002_g10559.t1, bc2002_g2448.t1	acastellanii_g11477.t1
OG0001473	bc2002_g8420.t1	acastellanii_g11278.t1, acastellanii_g11278.t2
OG0001474	bc2002_g17459.t1	acastellanii_g11266.t1
OG0001475	bc2002_g5214.t1	acastellanii_g11177.t1
OG0001476	bc2002_g17857.t1	acastellanii_g11189.t1
OG0001477	bc2002_g16478.t1	acastellanii_g11230.t1
OG0001478	bc2002_g17387.t1	acastellanii_g11237.t2, acastellanii_g11237.t1
OG0001479	bc2002_g12830.t1	acastellanii_g10969.t1, acastellanii_g920.t1, acastellanii_g920.t2
OG0001480	bc2002_g733.t1	acastellanii_g5385.t1, acastellanii_g10983.t1, acastellanii_g4644.t1, acastellanii_g5093.t1
OG0001481	bc2002_g7002.t1	acastellanii_g10991.t1, acastellanii_g10987.t1
OG0001482	bc2002_g18287.t1	acastellanii_g10996.t1
OG0001483	bc2002_g18483.t1, bc2002_g4372.t1	acastellanii_g11010.t1
OG0001485	bc2002_g20066.t1	acastellanii_g11133.t1, acastellanii_g11132.t1
OG0001486	bc2002_g4192.t1	acastellanii_g10896.t1
OG0001487	bc2002_g1666.t1, bc2002_g1666.t2	acastellanii_g10907.t1
OG0001488	bc2002_g7571.t1, bc2002_g15325.t1	acastellanii_g10708.t1
OG0001489	bc2002_g9493.t1, bc2002_g9493.t2	acastellanii_g10717.t1
OG0001490	bc2002_g4250.t1	acastellanii_g10762.t1
OG0001491	bc2002_g85.t1, bc2002_g17707.t1	acastellanii_g10785.t1
OG0001493	bc2002_g6746.t1	acastellanii_g9990.t1, acastellanii_g10661.t1, acastellanii_g8675.t1, acastellanii_g378.t1
OG0001494	bc2002_g17814.t1	acastellanii_g10580.t1, acastellanii_g4103.t1
OG0001495	bc2002_g17207.t1	acastellanii_g10444.t1
OG0001496	bc2002_g14198.t1	acastellanii_g10271.t1, acastellanii_g6482.t1, acastellanii_g6482.t2
OG0001497	bc2002_g13465.t1	acastellanii_g8696.t1, acastellanii_g10308.t2, acastellanii_g10308.t1
OG0001498	bc2002_g12289.t2, bc2002_g12289.t1	acastellanii_g10318.t1
OG0001499	bc2002_g16125.t1	acastellanii_g10350.t1, acastellanii_g9856.t1
OG0001500	bc2002_g12072.t2, bc2002_g12072.t1	acastellanii_g10395.t1
OG0001501	bc2002_g11562.t1	acastellanii_g10402.t1
OG0001502	bc2002_g9429.t2, bc2002_g9429.t1	acastellanii_g10080.t1
OG0001503	bc2002_g11954.t1	acastellanii_g9875.t1, acastellanii_g10112.t1
OG0001504	bc2002_g17860.t1	acastellanii_g10144.t1, acastellanii_g10144.t2
OG0001505	bc2002_g13575.t1	acastellanii_g10172.t1
OG0001506	bc2002_g5343.t1	acastellanii_g5599.t1, acastellanii_g10191.t1
OG0001507	bc2002_g4635.t2, bc2002_g4635.t1	acastellanii_g10217.t1
OG0001509	bc2002_g10116.t1	acastellanii_g9978.t1, acastellanii_g9977.t1, acastellanii_g4840.t1, acastellanii_g4840.t2
OG0001510	bc2002_g4265.t1	acastellanii_g9679.t1
OG0001511	bc2002_g16861.t1	acastellanii_g9686.t1
OG0001512	bc2002_g9776.t2, bc2002_g9776.t1	acastellanii_g9748.t1
OG0001513	bc2002_g16029.t3, bc2002_g16029.t2, bc2002_g16029.t1	acastellanii_g9758.t1
OG0001514	bc2002_g11215.t2, bc2002_g11215.t1	acastellanii_g9761.t1
OG0001515	bc2002_g2944.t1	acastellanii_g9763.t1, acastellanii_g1166.t1
OG0001516	bc2002_g5555.t1	acastellanii_g9770.t1, acastellanii_g2960.t1
OG0001517	bc2002_g18670.t1	acastellanii_g9781.t1, acastellanii_g9785.t1
OG0001518	bc2002_g3417.t1	acastellanii_g9852.t1, acastellanii_g9852.t2, acastellanii_g9852.t3
OG0001519	bc2002_g8265.t2, bc2002_g8265.t1	acastellanii_g9874.t1
OG0001520	bc2002_g2896.t1	acastellanii_g9885.t1
OG0001521	bc2002_g11647.t2, bc2002_g11647.t1	acastellanii_g9947.t1, acastellanii_g9947.t2
OG0001522	bc2002_g6821.t1, bc2002_g6822.t1	acastellanii_g9363.t1, acastellanii_g9363.t2
OG0001523	bc2002_g4159.t2, bc2002_g4159.t1	acastellanii_g9392.t1
OG0001524	bc2002_g7115.t1, bc2002_g6504.t1	acastellanii_g9404.t1
OG0001525	bc2002_g342.t1	acastellanii_g9452.t1, acastellanii_g9452.t2, acastellanii_g4189.t1
OG0001526	bc2002_g11919.t1	acastellanii_g9472.t1
OG0001527	bc2002_g1049.t1	acastellanii_g9491.t3, acastellanii_g9491.t2, acastellanii_g9491.t1
OG0001528	bc2002_g14670.t2, bc2002_g14670.t1	acastellanii_g9513.t1
OG0001529	bc2002_g12439.t1	acastellanii_g9305.t2, acastellanii_g9305.t1
OG0001530	bc2002_g6657.t2, bc2002_g6657.t1	acastellanii_g9306.t1
OG0001531	bc2002_g7866.t1, bc2002_g8596.t1	acastellanii_g9282.t1
OG0001532	bc2002_g17196.t1	acastellanii_g9272.t1, acastellanii_g9272.t2
OG0001533	bc2002_g6851.t1	acastellanii_g9257.t3, acastellanii_g9257.t2, acastellanii_g9257.t1
OG0001534	bc2002_g9873.t1	acastellanii_g9233.t1
OG0001535	bc2002_g11121.t2, bc2002_g11121.t1	acastellanii_g9187.t1
OG0001536	bc2002_g4185.t1	acastellanii_g5976.t1
OG0001537	bc2002_g8285.t1	acastellanii_g8737.t1, acastellanii_g8737.t2
OG0001539	bc2002_g1382.t1	acastellanii_g8764.t1
OG0001540	bc2002_g14752.t1, bc2002_g14752.t2	acastellanii_g8783.t1
OG0001542	bc2002_g95.t1	acastellanii_g8806.t1, acastellanii_g8806.t2
OG0001543	bc2002_g12239.t2, bc2002_g12239.t1	acastellanii_g8825.t1
OG0001545	bc2002_g13876.t2, bc2002_g13876.t1	acastellanii_g8860.t1
OG0001546	bc2002_g12607.t2, bc2002_g12607.t1	acastellanii_g3821.t1, acastellanii_g8890.t1
OG0001547	bc2002_g16542.t1	acastellanii_g8897.t1, acastellanii_g8897.t2, acastellanii_g8897.t3
OG0001548	bc2002_g9370.t1, bc2002_g9370.t2	acastellanii_g8937.t1
OG0001549	bc2002_g1700.t1, bc2002_g1700.t2	acastellanii_g8950.t1, acastellanii_g4735.t1
OG0001550	bc2002_g17536.t2, bc2002_g17536.t1	acastellanii_g9000.t1
OG0001551	bc2002_g7054.t2, bc2002_g7054.t1	acastellanii_g9057.t1, acastellanii_g3524.t1
OG0001552	bc2002_g3306.t1	acastellanii_g7198.t1, acastellanii_g8641.t2, acastellanii_g8641.t1
OG0001553	bc2002_g14481.t1	acastellanii_g3055.t1, acastellanii_g8661.t1
OG0001554	bc2002_g1093.t1, bc2002_g1093.t2	acastellanii_g8467.t1
OG0001556	bc2002_g4539.t1	acastellanii_g8517.t3, acastellanii_g8517.t1, acastellanii_g8517.t2
OG0001557	bc2002_g17488.t1, bc2002_g17487.t1	acastellanii_g8021.t1
OG0001559	bc2002_g13883.t1	acastellanii_g8064.t2, acastellanii_g8064.t1
OG0001560	bc2002_g4252.t1, bc2002_g4252.t2	acastellanii_g8086.t1, acastellanii_g8086.t2
OG0001561	bc2002_g7656.t1	acastellanii_g3920.t1, acastellanii_g7185.t1, acastellanii_g7185.t2, acastellanii_g8171.t1
OG0001562	bc2002_g11290.t2, bc2002_g11290.t1	acastellanii_g8187.t1
OG0001563	bc2002_g13375.t1, bc2002_g13375.t2	acastellanii_g8217.t1
OG0001564	bc2002_g17289.t1	acastellanii_g8338.t1, acastellanii_g7519.t1
OG0001566	bc2002_g2849.t1, bc2002_g2849.t2	acastellanii_g7981.t1, acastellanii_g7981.t2
OG0001568	bc2002_g17697.t1, bc2002_g17697.t2	acastellanii_g7941.t1, acastellanii_g7939.t2, acastellanii_g7939.t1
OG0001569	bc2002_g3864.t1, bc2002_g3864.t2	acastellanii_g7758.t1, acastellanii_g7758.t2
OG0001570	bc2002_g15668.t1	acastellanii_g7833.t2, acastellanii_g7833.t1
OG0001571	bc2002_g6810.t1, bc2002_g12400.t1	acastellanii_g7858.t1
OG0001572	bc2002_g14542.t1	acastellanii_g7881.t1, acastellanii_g7883.t1, acastellanii_g7883.t2
OG0001573	bc2002_g20105.t1	acastellanii_g7884.t1
OG0001574	bc2002_g4803.t1	acastellanii_g7892.t3, acastellanii_g7892.t1, acastellanii_g5632.t1
OG0001575	bc2002_g18176.t1	acastellanii_g4836.t1, acastellanii_g4997.t1, acastellanii_g7716.t1
OG0001577	bc2002_g15485.t2, bc2002_g15485.t1	acastellanii_g7652.t1
OG0001579	bc2002_g14646.t2, bc2002_g14646.t1	acastellanii_g7636.t1
OG0001581	bc2002_g11917.t1	acastellanii_g315.t1, acastellanii_g7557.t1
OG0001582	bc2002_g10524.t1	acastellanii_g7500.t1
OG0001583	bc2002_g13908.t1	acastellanii_g7504.t1, acastellanii_g4422.t2, acastellanii_g1922.t1
OG0001584	bc2002_g13886.t1, bc2002_g13887.t1	acastellanii_g7509.t1
OG0001585	bc2002_g19333.t1, bc2002_g19333.t2	acastellanii_g7471.t3
OG0001586	bc2002_g17301.t1	acastellanii_g7489.t1, acastellanii_g3247.t1, acastellanii_g3246.t1
OG0001587	bc2002_g4689.t1	acastellanii_g7359.t2, acastellanii_g7359.t3, acastellanii_g7359.t1
OG0001589	bc2002_g16863.t1, bc2002_g1399.t2	acastellanii_g7239.t1, acastellanii_g2027.t1
OG0001590	bc2002_g10692.t2, bc2002_g10692.t1	acastellanii_g7121.t1, acastellanii_g6994.t1
OG0001591	bc2002_g2369.t1	acastellanii_g7015.t1
OG0001592	bc2002_g13160.t1, bc2002_g19184.t1	acastellanii_g7021.t1
OG0001593	bc2002_g10947.t1	acastellanii_g7093.t1
OG0001594	bc2002_g10685.t1	acastellanii_g7102.t1, acastellanii_g7102.t2
OG0001595	bc2002_g14140.t1	acastellanii_g7111.t2, acastellanii_g7111.t1
OG0001596	bc2002_g7634.t1, bc2002_g2795.t1	acastellanii_g7144.t1, acastellanii_g7143.t1
OG0001597	bc2002_g17439.t1	acastellanii_g6506.t1, acastellanii_g7206.t1
OG0001598	bc2002_g15017.t1	acastellanii_g6974.t1, acastellanii_g371.t1
OG0001599	bc2002_g10386.t1	acastellanii_g6803.t1
OG0001600	bc2002_g10265.t1	acastellanii_g6896.t1
OG0001601	bc2002_g15531.t1, bc2002_g15532.t1	acastellanii_g6907.t1
OG0001602	bc2002_g9322.t1	acastellanii_g6729.t1, acastellanii_g3726.t1
OG0001603	bc2002_g15334.t1	acastellanii_g6762.t1, acastellanii_g6763.t1, acastellanii_g6763.t2, acastellanii_g4982.t1
OG0001604	bc2002_g17902.t1	acastellanii_g6700.t1
OG0001605	bc2002_g14302.t1	acastellanii_g6025.t1, acastellanii_g362.t1, acastellanii_g362.t2, acastellanii_g751.t1
OG0001606	bc2002_g6212.t1	acastellanii_g6039.t1
OG0001607	bc2002_g4511.t2, bc2002_g4511.t1	acastellanii_g6048.t1
OG0001608	bc2002_g17777.t1	acastellanii_g6126.t2, acastellanii_g6126.t1
OG0001609	bc2002_g18635.t2, bc2002_g18635.t1	acastellanii_g6127.t1
OG0001610	bc2002_g16891.t1	acastellanii_g6150.t1
OG0001611	bc2002_g16797.t1, bc2002_g1048.t1	acastellanii_g6166.t1
OG0001612	bc2002_g8035.t1, bc2002_g8036.t2, bc2002_g8036.t1	acastellanii_g6258.t1
OG0001613	bc2002_g15269.t1	acastellanii_g6328.t1
OG0001614	bc2002_g6700.t1	acastellanii_g6398.t1
OG0001615	bc2002_g18116.t1, bc2002_g18117.t1	acastellanii_g6462.t1, acastellanii_g6462.t2
OG0001616	bc2002_g2895.t2, bc2002_g2895.t1	acastellanii_g6503.t2, acastellanii_g6503.t1
OG0001617	bc2002_g4646.t1, bc2002_g4646.t3, bc2002_g4646.t2	acastellanii_g6518.t1
OG0001618	bc2002_g3893.t1	acastellanii_g503.t1, acastellanii_g5101.t1, acastellanii_g5953.t1
OG0001619	bc2002_g17000.t1	acastellanii_g5890.t1
OG0001620	bc2002_g18666.t1, bc2002_g18517.t1	acastellanii_g162.t1, acastellanii_g5917.t1
OG0001621	bc2002_g228.t1	acastellanii_g2104.t1, acastellanii_g5694.t1
OG0001622	bc2002_g16035.t1	acastellanii_g5712.t1, acastellanii_g5712.t2
OG0001623	bc2002_g7667.t1	acastellanii_g5634.t2, acastellanii_g5634.t1
OG0001626	bc2002_g7400.t1	acastellanii_g5492.t2, acastellanii_g5492.t1
OG0001628	bc2002_g4607.t2, bc2002_g4607.t1	acastellanii_g5391.t1
OG0001629	bc2002_g13499.t1	acastellanii_g5386.t1, acastellanii_g5386.t2
OG0001630	bc2002_g8535.t1	acastellanii_g5279.t1
OG0001631	bc2002_g14634.t1	acastellanii_g5233.t1, acastellanii_g4763.t1
OG0001632	bc2002_g17816.t1, bc2002_g17815.t1	acastellanii_g5014.t1
OG0001633	bc2002_g10814.t1	acastellanii_g4282.t1, acastellanii_g4885.t2, acastellanii_g4885.t1
OG0001634	bc2002_g16764.t1	acastellanii_g4888.t1
OG0001636	bc2002_g17869.t1	acastellanii_g4906.t1
OG0001637	bc2002_g10758.t1	acastellanii_g4914.t1, acastellanii_g4915.t1, acastellanii_g605.t1, acastellanii_g605.t2
